Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Opel,Movano,7/2021,523 260 Kč,50 230 km,100 kW,Diesel,6.7 l/100km,Manuál
BMW,118,6/2022,522 760 Kč,92 800 km,110 kW,Diesel,4.6 l/100km,Manuál
Seat,Leon,8/2021,522 760 Kč,65 266 km,110 kW,Benzín,5.4 l/100km,Manuál
Volkswagen,T-Roc,2/2022,522 260 Kč,30 539 km,81 kW,Benzín,6 l/100km,Manuál
Audi,A3,10/2021,521 260 Kč,77 360 km,110 kW,Benzín,5.8 l/100km,Manuál
BMW,118,1/2022,520 760 Kč,45 577 km,103 kW,Benzín,5.4 l/100km,Manuál
MINI,Cooper SE,7/2023,520 260 Kč,21 079 km,135 kW,Elektro,,Automat
Opel,Crossland,3/2023,519 760 Kč,18 766 km,96 kW,Benzín,5 l/100km,Automat
Fiat,Ducato,3/2021,518 260 Kč,116 368 km,103 kW,Diesel,6.8 l/100km,Automat
BMW,118,8/2020,517 760 Kč,63 002 km,103 kW,Benzín,5.6 l/100km,Manuál
Citroën,Berlingo,9/2020,516 760 Kč,41 035 km,96 kW,Benzín,5.5 l/100km,Automat
Volkswagen,Taigo,5/2024,514 260 Kč,25 782 km,70 kW,Benzín,4.7 l/100km,Manuál
Opel,Grandland X,5/2021,513 760 Kč,34 174 km,96 kW,Benzín,5.2 l/100km,Automat
Volkswagen,Golf,1/2020,512 760 Kč,83 500 km,110 kW,Benzín,5.3 l/100km,Manuál
BMW,116,1/2020,512 760 Kč,73 468 km,85 kW,Diesel,,Automat
Volkswagen,T-Roc,2/2023,512 760 Kč,9 200 km,81 kW,Benzín,6 l/100km,Manuál
Suzuki,Ignis,12/2024,510 260 Kč,1 km,61 kW,Benzín,5.4 l/100km,Manuál
Hyundai,Kona,11/2020,509 760 Kč,8 750 km,100 kW,Elektro,,Automat
MG,EHS,12/2022,508 760 Kč,60 000 km,190 kW,Hybrid,,Automat
