Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Audi,Q7,7/2024,2 393 760 Kč,18 800 km,360 kW,Hybrid,8.6 l/100km,Automat
Maserati,Grecale,1/2023,2 389 760 Kč,45 000 km,390 kW,Benzín,9.5 l/100km,Automat
BMW,i5,12/2024,2 383 760 Kč,0 km,442 kW,Elektro,20.5 kWh/100km,Automat
BMW,740,6/2024,2 383 760 Kč,33 330 km,220 kW,Diesel,6.1 l/100km,Automat
Audi,SQ8,10/2023,2 382 260 Kč,16 840 km,373 kW,Benzín,12 l/100km,Automat
BMW,M3,12/2023,2 367 760 Kč,13 900 km,375 kW,Benzín,10.8 l/100km,Manuál
Audi,Q7,1/2024,2 366 760 Kč,120 km,210 kW,Diesel,8 l/100km,Automat
BMW,M3,1/2024,2 363 760 Kč,9 700 km,375 kW,Benzín,10 l/100km,Automat
Mercedes-Benz,E 63 AMG,4/2023,2 353 260 Kč,34 500 km,450 kW,Benzín,11.7 l/100km,Automat
Mercedes-Benz,C 63 AMG,4/2024,2 343 760 Kč,16 454 km,500 kW,Hybrid,,Automat
Mercedes-Benz,GLC 43 AMG,8/2024,2 328 260 Kč,9 000 km,310 kW,Benzín,,Automat
Alfa Romeo,Stelvio,12/2024,2 317 260 Kč,15 km,382 kW,Benzín,11.8 l/100km,Automat
Audi,RS6,3/2021,2 305 260 Kč,66 563 km,441 kW,Benzín,12.1 l/100km,Automat
Alfa Romeo,Stelvio,11/2024,2 304 260 Kč,15 km,382 kW,Benzín,11.8 l/100km,Automat
Audi,SQ7,12/2023,2 291 260 Kč,23 750 km,373 kW,Benzín,11.4 l/100km,Automat
Mercedes-Benz,EQS SUV,2/2024,2 291 260 Kč,1 838 km,265 kW,Elektro,,Automat
Mercedes-Benz,GLE 63 AMG,11/2020,2 285 760 Kč,92 630 km,450 kW,Benzín,,Automat
BMW,540,1/2025,2 264 260 Kč,4 500 km,210 kW,Diesel,6 l/100km,Automat
BMW,X5,10/2024,2 251 760 Kč,9 300 km,219 kW,Diesel,7.1 l/100km,Automat
Mercedes-Benz,GLE 350,5/2024,2 226 760 Kč,15 809 km,245 kW,Hybrid,,Automat
Audi,RS5,5/2024,2 224 760 Kč,11 374 km,331 kW,Benzín,9.1 l/100km,Automat
Mercedes-Benz,C 63 AMG,2/2024,2 219 760 Kč,15 300 km,500 kW,Hybrid,,Automat
Audi,RS4,7/2024,2 211 760 Kč,19 712 km,331 kW,Benzín,9.2 l/100km,Automat
BMW,X5,4/2024,2 185 260 Kč,25 849 km,210 kW,Diesel,,Automat
Land Rover,Discovery,10/2023,2 183 260 Kč,7 560 km,221 kW,Diesel,,Manuál
Mercedes-Benz,GLE 350,5/2024,2 177 760 Kč,8 717 km,245 kW,Hybrid,,Automat
Audi,RS e-tron GT,1/2022,2 144 760 Kč,32 576 km,440 kW,Elektro,20.8 kWh/100km,Automat
Jeep,Grand Cherokee,6/2024,2 132 760 Kč,1 350 km,280 kW,Hybrid,,Automat
BMW,X5,1/2024,2 132 260 Kč,19 356 km,210 kW,Diesel,6.5 l/100km,Automat
Mercedes-Benz,GLS 580,12/2020,2 132 260 Kč,49 540 km,360 kW,Benzín,10.7 l/100km,Automat
Mercedes-Benz,EQE,9/2023,2 126 760 Kč,37 318 km,460 kW,Elektro,,Automat
Lexus,RX 500,8/2024,2 079 760 Kč,5 815 km,273 kW,Hybrid,8.1 l/100km,Automat
Porsche,Taycan,7/2023,2 074 260 Kč,22 091 km,350 kW,Elektro,,Automat
Audi,RS6,2/2021,2 044 260 Kč,122 056 km,441 kW,Benzín,12.1 l/100km,Automat
Porsche,Taycan,1/2024,2 039 260 Kč,21 277 km,350 kW,Elektro,,Automat
Audi,RS3,11/2024,2 027 260 Kč,0 km,294 kW,Benzín,8.2 l/100km,Automat
BMW,X4 M,6/2024,2 026 760 Kč,17 031 km,375 kW,Benzín,10.2 l/100km,Automat
BMW,i5,10/2023,2 017 260 Kč,16 500 km,442 kW,Elektro,,Automat
Audi,RS5,7/2024,2 009 760 Kč,18 921 km,331 kW,Benzín,9.1 l/100km,Automat
BMW,440 Gran Coupé,12/2024,2 008 760 Kč,0 km,275 kW,Benzín,8.8 l/100km,Automat
Mercedes-Benz,GLE 300,2/2024,1 998 260 Kč,23 667 km,200 kW,Diesel,,Automat
Land Rover,Defender,12/2024,1 990 760 Kč,21 km,147 kW,Diesel,9.9 l/100km,Automat
Mercedes-Benz,E 220,9/2024,1 966 260 Kč,6 000 km,145 kW,Diesel,5.2 l/100km,Automat
Kia,EV9,1/2025,1 964 260 Kč,10 km,283 kW,Elektro,,Automat
Volvo,XC90,2/2024,1 961 260 Kč,13 400 km,335 kW,Hybrid,,Automat
Land Rover,Discovery,4/2024,1 944 260 Kč,15 000 km,221 kW,Diesel,8.5 l/100km,Automat
Audi,RS3,12/2024,1 937 260 Kč,5 km,294 kW,Benzín,8.2 l/100km,Automat
Audi,RS3,11/2024,1 937 260 Kč,0 km,294 kW,Benzín,8.2 l/100km,Automat
Audi,A7,5/2024,1 927 760 Kč,9 700 km,270 kW,Hybrid,1.5 l/100km,Automat
Mercedes-Benz,GLC 300,8/2024,1 918 760 Kč,13 351 km,198 kW,Diesel,5.8 l/100km,Automat
Volkswagen,ID.7,12/2024,1 918 260 Kč,0 km,210 kW,Elektro,14.1 kWh/100km,Automat
Audi,Q8,1/2024,1 915 260 Kč,18 872 km,210 kW,Diesel,7.1 l/100km,Automat
Mercedes-Benz,GLE 300,3/2024,1 913 260 Kč,15 362 km,180 kW,Diesel,,Automat
Volkswagen,Touareg,10/2023,1 892 260 Kč,5 150 km,210 kW,Diesel,8.2 l/100km,Automat
Porsche,Taycan,7/2022,1 874 760 Kč,51 031 km,390 kW,Elektro,,Automat
Land Rover,Range Rover,5/2021,1 868 760 Kč,75 697 km,386 kW,Benzín,13.4 l/100km,Automat
BMW,X4 M,5/2023,1 866 260 Kč,41 035 km,375 kW,Benzín,10.2 l/100km,Automat
Volkswagen,Touareg,9/2024,1 865 760 Kč,22 500 km,210 kW,Diesel,8.2 l/100km,Automat
Audi,S6,9/2023,1 859 760 Kč,28 511 km,253 kW,Diesel,6.4 l/100km,Automat
BMW,X6 M,1/2022,1 859 760 Kč,46 999 km,390 kW,Benzín,13.1 l/100km,Automat
Land Rover,Defender,1/2025,1 849 260 Kč,1 000 km,147 kW,Diesel,7.6 l/100km,Automat
Audi,RS3,12/2024,1 830 760 Kč,0 km,294 kW,Benzín,8.3 l/100km,Automat
BMW,X3,12/2024,1 821 260 Kč,0 km,145 kW,Diesel,6.5 l/100km,Automat
BMW,iX,12/2022,1 813 760 Kč,25 782 km,385 kW,Elektro,,Automat
Ford,Bronco,10/2024,1 813 260 Kč,5 km,246 kW,Benzín,13.4 l/100km,Automat
Land Rover,Range Rover Evoque,1/2025,1 810 260 Kč,0 km,198 kW,Hybrid,6.8 l/100km,Automat
Mercedes-Benz,EQE SUV,6/2024,1 805 760 Kč,11 266 km,215 kW,Elektro,,Automat
Audi,Q6,9/2024,1 805 760 Kč,3 500 km,225 kW,Elektro,,Automat
BMW,i5,1/2025,1 803 260 Kč,0 km,250 kW,Elektro,,Automat
Volkswagen,T6 California,6/2024,1 802 760 Kč,1 999 km,110 kW,Diesel,6.9 l/100km,Automat
Volkswagen,T6 California,6/2024,1 789 760 Kč,25 km,110 kW,Diesel,6.9 l/100km,Automat
Audi,Q8,6/2024,1 787 260 Kč,12 400 km,300 kW,Elektro,,Automat
Volkswagen,Crafter,12/2024,1 786 260 Kč,20 km,130 kW,Diesel,8 l/100km,Automat
Land Rover,Range Rover Velar,3/2024,1 785 260 Kč,26 550 km,297 kW,Hybrid,,Automat
Mercedes-Benz,C 43 AMG,5/2024,1 763 260 Kč,6 500 km,300 kW,Benzín,,Automat
Volkswagen,T6 California,3/2023,1 762 260 Kč,20 km,110 kW,Diesel,6.9 l/100km,Automat
BMW,i4,12/2024,1 758 260 Kč,0 km,250 kW,Elektro,18.6 kWh/100km,Automat
Audi,Q8,6/2023,1 749 260 Kč,45 793 km,300 kW,Elektro,,Automat
Audi,e-tron,2/2025,1 744 760 Kč,10 km,285 kW,Elektro,,Automat
BMW,340,3/2024,1 736 760 Kč,16 183 km,275 kW,Benzín,7.4 l/100km,Automat
Mercedes-Benz,C 43 AMG,3/2024,1 731 260 Kč,5 500 km,300 kW,Benzín,,Automat
Mercedes-Benz,C 43 AMG,3/2024,1 730 760 Kč,9 176 km,300 kW,Benzín,,Automat
BMW,340,2/2024,1 723 760 Kč,14 012 km,275 kW,Benzín,7.6 l/100km,Automat
Volkswagen,Amarok,1/2025,1 714 760 Kč,10 km,177 kW,Diesel,10.1 l/100km,Automat
Volkswagen,Touareg,12/2024,1 712 260 Kč,3 800 km,170 kW,Diesel,8.2 l/100km,Automat
Land Rover,Range Rover,11/2020,1 710 760 Kč,113 654 km,250 kW,Diesel,9.2 l/100km,Automat
Jeep,Wrangler,2/2023,1 708 260 Kč,500 km,280 kW,Hybrid,10.3 l/100km,Automat
Mazda,CX-80,10/2024,1 707 760 Kč,11 985 km,241 kW,Hybrid,,Automat
Audi,A6,5/2024,1 706 760 Kč,14 898 km,270 kW,Hybrid,1.5 l/100km,Automat
Land Rover,Discovery,5/2023,1 706 760 Kč,10 500 km,183 kW,Diesel,8.5 l/100km,Automat
Mercedes-Benz,GLC 300,2/2024,1 694 260 Kč,32 532 km,145 kW,Hybrid,,Automat
Land Rover,Discovery,7/2022,1 691 260 Kč,49 000 km,221 kW,Diesel,7.4 l/100km,Automat
BMW,X4,5/2024,1 689 260 Kč,24 400 km,250 kW,Diesel,6.9 l/100km,Automat
Mercedes-Benz,GLC 220,7/2024,1 683 260 Kč,19 900 km,145 kW,Diesel,,Automat
Volvo,XC60,12/2024,1 681 760 Kč,4 000 km,335 kW,Hybrid,21.2 l/100km,Manuál
Porsche,Taycan,4/2022,1 681 760 Kč,46 161 km,280 kW,Elektro,,Automat
BMW,X4,6/2024,1 677 760 Kč,25 968 km,250 kW,Diesel,6.9 l/100km,Automat
BMW,X6,3/2022,1 666 760 Kč,57 857 km,250 kW,Diesel,5.8 l/100km,Automat
BMW,X4,5/2024,1 663 760 Kč,15 410 km,265 kW,Benzín,8.3 l/100km,Automat
Mazda,CX-80,12/2024,1 657 760 Kč,15 km,187 kW,Diesel,5.6 l/100km,Automat
BMW,340,8/2023,1 656 760 Kč,13 000 km,250 kW,Diesel,5.8 l/100km,Automat
Land Rover,Range Rover Velar,6/2020,1 656 760 Kč,42 503 km,405 kW,Benzín,11.3 l/100km,Automat
BMW,330,12/2024,1 655 260 Kč,0 km,180 kW,Benzín,7.2 l/100km,Automat
Mercedes-Benz,GLC 300,7/2023,1 654 760 Kč,13 700 km,190 kW,Benzín,,Automat
BMW,X4,7/2024,1 641 760 Kč,22 582 km,265 kW,Benzín,8.3 l/100km,Automat
BMW,520,12/2024,1 631 260 Kč,0 km,145 kW,Diesel,5.3 l/100km,Automat
Volkswagen,Touareg,7/2023,1 631 260 Kč,31 850 km,210 kW,Diesel,8.2 l/100km,Automat
Porsche,Panamera,3/2020,1 629 760 Kč,135 663 km,340 kW,Hybrid,2.1 l/100km,Automat
Mercedes-Benz,GLC 220,12/2024,1 622 760 Kč,0 km,145 kW,Diesel,,Automat
Volkswagen,Touareg,4/2024,1 615 260 Kč,9 445 km,170 kW,Diesel,8.2 l/100km,Automat
Mercedes-Benz,GLC 220,2/2024,1 614 760 Kč,21 500 km,145 kW,Diesel,5.8 l/100km,Automat
Audi,Q5,6/2024,1 601 260 Kč,15 200 km,195 kW,Benzín,7.4 l/100km,Automat
BMW,530,9/2024,1 598 260 Kč,3 550 km,210 kW,Diesel,5.7 l/100km,Automat
Mercedes-Benz,EQE,7/2023,1 578 760 Kč,3 690 km,215 kW,Elektro,,Automat
Volkswagen,Tiguan,12/2024,1 578 260 Kč,0 km,142 kW,Diesel,5.5 l/100km,Automat
Volkswagen,T6 Transporter,12/2024,1 576 260 Kč,18 km,125 kW,Diesel,6 l/100km,Automat
Audi,RSQ3,5/2022,1 570 760 Kč,6 200 km,294 kW,Benzín,9.6 l/100km,Automat
BMW,X1,12/2024,1 565 260 Kč,0 km,240 kW,Hybrid,17.5 l/100km,Automat
BMW,iX,12/2022,1 563 760 Kč,67 398 km,385 kW,Elektro,,Automat
Volvo,XC60,5/2024,1 561 260 Kč,80 km,257 kW,Hybrid,1 l/100km,Automat
Volkswagen,ID.7,10/2024,1 554 760 Kč,10 920 km,250 kW,Elektro,,Automat
Mazda,CX-60,8/2024,1 552 260 Kč,2 500 km,187 kW,Diesel,5.2 l/100km,Automat
BMW,740,3/2021,1 549 760 Kč,68 600 km,250 kW,Diesel,6 l/100km,Automat
Audi,Q5,1/2024,1 547 760 Kč,3 km,150 kW,Diesel,5.4 l/100km,Automat
Mercedes-Benz,CLE 200,10/2024,1 544 760 Kč,5 000 km,150 kW,Benzín,6.8 l/100km,Automat
Audi,Q5,7/2024,1 538 260 Kč,1 km,150 kW,Diesel,5.4 l/100km,Automat
Cupra,Tavascan,9/2024,1 537 760 Kč,7 500 km,250 kW,Elektro,,Automat
Audi,A6,9/2024,1 529 260 Kč,12 000 km,274 kW,Hybrid,1.5 l/100km,Automat
Kia,EV6,12/2024,1 525 760 Kč,0 km,239 kW,Elektro,17 kWh/100km,Automat
BMW,i4,1/2024,1 524 760 Kč,30 332 km,400 kW,Elektro,,Automat
Porsche,Macan,1/2021,1 524 760 Kč,47 172 km,260 kW,Benzín,8.9 l/100km,Automat
Mazda,CX-60,8/2024,1 524 760 Kč,4 169 km,187 kW,Diesel,5.3 l/100km,Automat
Audi,A8,8/2022,1 523 260 Kč,95 854 km,250 kW,Benzín,8.2 l/100km,Automat
Audi,Q3,12/2024,1 515 260 Kč,0 km,140 kW,Benzín,7.3 l/100km,Automat
BMW,i4,12/2024,1 512 760 Kč,0 km,210 kW,Elektro,16.7 kWh/100km,Automat
Audi,A6,1/2024,1 508 760 Kč,27 000 km,150 kW,Diesel,4.9 l/100km,Automat
Volkswagen,Amarok,12/2024,1 499 260 Kč,0 km,151 kW,Diesel,8.8 l/100km,Automat
BMW,X5,5/2021,1 499 260 Kč,89 540 km,293 kW,Hybrid,,Automat
Mercedes-Benz,CLS 400,12/2020,1 499 260 Kč,47 630 km,243 kW,Diesel,6.7 l/100km,Automat
Mercedes-Benz,GLC 220,1/2024,1 499 260 Kč,14 900 km,145 kW,Diesel,5.8 l/100km,Automat
Škoda,Enyaq,12/2024,1 499 260 Kč,15 km,210 kW,Elektro,16.7 kWh/100km,Automat
Mercedes-Benz,E 220,11/2023,1 499 260 Kč,9 124 km,145 kW,Diesel,,Automat
Mercedes-Benz,E 450,3/2023,1 498 760 Kč,44 900 km,270 kW,Benzín,,Automat
BMW,520,6/2024,1 494 260 Kč,29 300 km,145 kW,Diesel,5.5 l/100km,Automat
Volkswagen,T6 Transporter,12/2024,1 492 260 Kč,516 km,110 kW,Diesel,6.5 l/100km,Manuál
Alfa Romeo,Stelvio,7/2024,1 489 260 Kč,10 km,154 kW,Diesel,5.6 l/100km,Automat
BMW,330,1/2025,1 483 260 Kč,1 km,180 kW,Benzín,6.6 l/100km,Automat
BMW,X3,1/2024,1 480 260 Kč,21 890 km,210 kW,Diesel,6.5 l/100km,Automat
BMW,X3,9/2023,1 478 260 Kč,28 900 km,215 kW,Hybrid,,Automat
Audi,Q4 e-tron,3/2024,1 473 260 Kč,9 500 km,220 kW,Elektro,,Automat
BMW,X4,7/2024,1 472 260 Kč,17 500 km,140 kW,Diesel,5.9 l/100km,Automat
Volvo,V90,11/2024,1 463 760 Kč,4 030 km,261 kW,Hybrid,,Automat
Volkswagen,T6 Transporter,12/2024,1 461 760 Kč,25 km,110 kW,Diesel,6.5 l/100km,Manuál
BMW,X3,6/2024,1 460 260 Kč,19 737 km,140 kW,Diesel,6 l/100km,Automat
BMW,X3,5/2024,1 458 260 Kč,21 233 km,140 kW,Diesel,6 l/100km,Automat
Audi,A6,5/2023,1 455 760 Kč,45 841 km,195 kW,Benzín,7 l/100km,Automat
Volkswagen,T7 Multivan,11/2023,1 455 260 Kč,26 267 km,160 kW,Hybrid,1.5 l/100km,Automat
Mercedes-Benz,E 200,7/2024,1 446 760 Kč,29 200 km,150 kW,Benzín,6.7 l/100km,Automat
BMW,X3,2/2024,1 446 760 Kč,13 120 km,140 kW,Diesel,6 l/100km,Automat
BMW,X7,3/2020,1 446 760 Kč,149 900 km,294 kW,Diesel,7.1 l/100km,Automat
Land Rover,Range Rover Evoque,4/2024,1 446 760 Kč,14 987 km,227 kW,Hybrid,,Automat
Land Rover,Range Rover Evoque,7/2024,1 445 760 Kč,15 546 km,150 kW,Diesel,7.7 l/100km,Automat
Mazda,CX-60,3/2024,1 444 260 Kč,3 953 km,187 kW,Diesel,,Automat
Volvo,XC60,3/2024,1 442 760 Kč,25 000 km,335 kW,Hybrid,,Automat
BMW,X3,2/2022,1 434 260 Kč,9 980 km,180 kW,Hybrid,,Automat
Mercedes-Benz,C 300,6/2024,1 433 760 Kč,9 778 km,230 kW,Hybrid,,Automat
Mazda,CX-60,6/2024,1 433 260 Kč,7 097 km,187 kW,Diesel,5.2 l/100km,Automat
Volkswagen,Amarok,6/2024,1 432 760 Kč,10 900 km,177 kW,Diesel,10 l/100km,Automat
BMW,X5,3/2022,1 432 760 Kč,77 333 km,210 kW,Diesel,6.5 l/100km,Automat
Cupra,Terramar,12/2024,1 432 260 Kč,0 km,200 kW,Hybrid,,Automat
Mercedes-Benz,E 200,1/2024,1 432 260 Kč,16 387 km,150 kW,Benzín,6.7 l/100km,Automat
Mercedes-Benz,GLC 300,3/2023,1 427 760 Kč,31 421 km,190 kW,Benzín,,Automat
Jaguar,F-Pace,1/2023,1 426 260 Kč,21 350 km,184 kW,Benzín,7.7 l/100km,Automat
BMW,X5,9/2020,1 420 260 Kč,85 296 km,250 kW,Diesel,6.8 l/100km,Automat
Cupra,Terramar,12/2024,1 417 760 Kč,10 km,195 kW,Benzín,8.6 l/100km,Automat
Mercedes-Benz,GLC 220,11/2023,1 417 760 Kč,24 570 km,145 kW,Diesel,5.8 l/100km,Automat
Volvo,XC60,3/2024,1 416 760 Kč,27 600 km,257 kW,Hybrid,,Automat
Polestar,2,4/2024,1 415 260 Kč,9 790 km,350 kW,Elektro,,Automat
Mercedes-Benz,GLC 220,10/2023,1 414 760 Kč,16 700 km,145 kW,Diesel,5.8 l/100km,Automat
Volvo,XC60,4/2024,1 414 760 Kč,25 025 km,335 kW,Hybrid,,Automat
Volvo,V90,7/2024,1 414 260 Kč,11 850 km,261 kW,Hybrid,,Automat
Mercedes-Benz,EQB,1/2024,1 412 760 Kč,5 km,168 kW,Elektro,17.2 kWh/100km,Automat
BMW,X5,5/2021,1 409 760 Kč,76 310 km,290 kW,Hybrid,,Automat
Volvo,XC60,3/2024,1 406 260 Kč,26 300 km,257 kW,Hybrid,,Automat
Mercedes-Benz,GLC 220,10/2023,1 401 760 Kč,28 706 km,145 kW,Diesel,5.8 l/100km,Automat
Mercedes-Benz,Sprinter,10/2020,1 400 760 Kč,42 000 km,140 kW,Diesel,8.8 l/100km,Automat
BMW,iX2,5/2024,1 394 760 Kč,22 090 km,230 kW,Elektro,,Automat
Mercedes-Benz,GLE 350,1/2021,1 393 760 Kč,139 800 km,235 kW,Hybrid,,Automat
Mercedes-Benz,E 300,11/2023,1 393 760 Kč,24 006 km,230 kW,Hybrid,,Automat
Audi,S3,2/2025,1 392 760 Kč,1 500 km,245 kW,Benzín,8.5 l/100km,Automat
Land Rover,Discovery Sport,5/2024,1 390 260 Kč,13 150 km,150 kW,Diesel,5.3 l/100km,Automat
Audi,Q5,9/2024,1 389 760 Kč,19 000 km,220 kW,Hybrid,1.8 l/100km,Automat
Mercedes-Benz,GLC 220,2/2023,1 388 760 Kč,41 416 km,145 kW,Diesel,6.1 l/100km,Automat
Audi,A6,3/2024,1 387 260 Kč,24 319 km,195 kW,Benzín,7 l/100km,Automat
Volvo,XC60,6/2024,1 386 260 Kč,9 989 km,184 kW,Benzín,7.3 l/100km,Automat
Audi,Q5,7/2024,1 385 260 Kč,27 807 km,195 kW,Benzín,7.4 l/100km,Automat
Cupra,Terramar,12/2024,1 384 760 Kč,5 km,200 kW,Hybrid,17.8 l/100km,Automat
BMW,iX,2/2022,1 384 260 Kč,30 172 km,240 kW,Elektro,,Automat
Cupra,Terramar,12/2024,1 383 260 Kč,0 km,150 kW,Hybrid,18.1 l/100km,Automat
BMW,M240i,3/2024,1 380 760 Kč,15 769 km,275 kW,Benzín,7.7 l/100km,Automat
Mercedes-Benz,GLC 200,5/2024,1 380 760 Kč,6 892 km,150 kW,Benzín,,Automat
Cupra,Terramar,10/2024,1 380 260 Kč,5 999 km,200 kW,Hybrid,18.5 l/100km,Automat
Audi,Q7,11/2022,1 368 260 Kč,82 000 km,170 kW,Diesel,8 l/100km,Automat
Cupra,Terramar,12/2024,1 367 760 Kč,0 km,200 kW,Hybrid,17.6 l/100km,Automat
Mazda,CX-60,1/2024,1 367 760 Kč,13 000 km,187 kW,Diesel,5.2 l/100km,Automat
BMW,550,8/2021,1 367 760 Kč,81 900 km,390 kW,Benzín,9.8 l/100km,Automat
Volkswagen,T6 Caravelle,11/2024,1 364 760 Kč,12 500 km,110 kW,Diesel,6.2 l/100km,Automat
Audi,A6,5/2024,1 363 260 Kč,21 022 km,150 kW,Diesel,4.9 l/100km,Automat
Dodge,Challenger,1/2025,1 359 760 Kč,4 990 km,277 kW,Benzín,14.7 l/100km,Automat
Audi,A6,5/2023,1 359 260 Kč,18 229 km,220 kW,Hybrid,1.5 l/100km,Automat
BMW,X3 M,12/2021,1 357 760 Kč,41 391 km,353 kW,Benzín,11 l/100km,Automat
Audi,A6,5/2024,1 356 260 Kč,8 650 km,195 kW,Benzín,7 l/100km,Automat
Volkswagen,T6 Transporter,12/2024,1 348 260 Kč,370 km,110 kW,Diesel,6 l/100km,Automat
BMW,i4,4/2023,1 344 760 Kč,73 300 km,400 kW,Elektro,,Automat
Toyota,Land Cruiser,7/2022,1 343 260 Kč,28 300 km,150 kW,Diesel,7.6 l/100km,Automat
BMW,730,11/2020,1 341 260 Kč,86 128 km,210 kW,Diesel,5.4 l/100km,Automat
Mercedes-Benz,EQV,2/2024,1 341 260 Kč,3 100 km,150 kW,Elektro,,Automat
Ford,Ranger,12/2024,1 340 760 Kč,0 km,125 kW,Diesel,6.9 l/100km,Automat
Volvo,XC40,8/2024,1 340 260 Kč,2 955 km,185 kW,Elektro,18.4 kWh/100km,Automat
Audi,A6,8/2024,1 339 760 Kč,27 968 km,150 kW,Diesel,4.8 l/100km,Automat
BMW,X3,8/2023,1 338 760 Kč,9 080 km,215 kW,Hybrid,,Automat
Audi,A6,5/2024,1 338 260 Kč,29 162 km,150 kW,Diesel,4.9 l/100km,Automat
BMW,320,12/2024,1 338 260 Kč,0 km,135 kW,Benzín,6.9 l/100km,Automat
BMW,330,4/2024,1 337 260 Kč,23 761 km,210 kW,Diesel,5.5 l/100km,Automat
Škoda,Kodiaq,9/2024,1 335 760 Kč,415 km,142 kW,Diesel,5.9 l/100km,Automat
Cupra,Terramar,10/2024,1 333 260 Kč,6 900 km,195 kW,Benzín,8.8 l/100km,Automat
BMW,X3,2/2024,1 327 760 Kč,12 836 km,140 kW,Diesel,6 l/100km,Automat
Mercedes-Benz,E 300,11/2023,1 327 760 Kč,24 431 km,225 kW,Hybrid,,Automat
Volvo,V90,3/2024,1 327 760 Kč,10 km,145 kW,Diesel,6.3 l/100km,Automat
Kia,Sorento,2/2024,1 327 260 Kč,6 126 km,169 kW,Hybrid,5.6 l/100km,Automat
Audi,A6,8/2024,1 319 760 Kč,27 378 km,120 kW,Diesel,4.7 l/100km,Automat
Škoda,Enyaq,12/2024,1 319 260 Kč,10 km,210 kW,Elektro,15.3 kWh/100km,Automat
BMW,540,5/2021,1 319 260 Kč,37 653 km,250 kW,Diesel,6.2 l/100km,Automat
BMW,X5,2/2022,1 316 260 Kč,64 712 km,170 kW,Diesel,7.1 l/100km,Automat
Audi,Q4 e-tron,4/2024,1 316 260 Kč,7 436 km,210 kW,Elektro,17.4 kWh/100km,Automat
Audi,S5,11/2021,1 314 260 Kč,15 112 km,260 kW,Benzín,6.3 l/100km,Automat
Volkswagen,Touareg,12/2019,1 314 260 Kč,35 609 km,210 kW,Diesel,8.2 l/100km,Automat
Cupra,Terramar,11/2024,1 313 260 Kč,7 889 km,200 kW,Hybrid,19.8 l/100km,Automat
Volvo,XC60,5/2024,1 312 260 Kč,23 006 km,184 kW,Benzín,7.3 l/100km,Automat
Audi,Q4 e-tron,4/2024,1 311 760 Kč,11 250 km,150 kW,Elektro,,Automat
Audi,S3,6/2024,1 311 760 Kč,7 020 km,245 kW,Benzín,8 l/100km,Automat
Audi,Q3,3/2025,1 307 760 Kč,1 km,110 kW,Diesel,4.7 l/100km,Automat
BMW,520,12/2023,1 307 760 Kč,20 999 km,140 kW,Diesel,5.2 l/100km,Automat
Ford,Transit Custom,3/2025,1 306 760 Kč,1 km,125 kW,Diesel,6.4 l/100km,Automat
Audi,Q5,7/2024,1 306 260 Kč,10 445 km,150 kW,Benzín,6.7 l/100km,Automat
Volvo,XC40,11/2024,1 303 260 Kč,0 km,185 kW,Elektro,16.8 kWh/100km,Automat
Audi,SQ5,9/2021,1 302 760 Kč,95 305 km,251 kW,Diesel,7 l/100km,Automat
BMW,M240i,2/2024,1 301 260 Kč,19 907 km,275 kW,Benzín,7.4 l/100km,Automat
Jaguar,F-Pace,1/2023,1 298 760 Kč,18 793 km,120 kW,Diesel,5.2 l/100km,Automat
Volvo,XC60,6/2023,1 289 260 Kč,24 000 km,258 kW,Hybrid,,Automat
BMW,340,5/2022,1 289 260 Kč,65 000 km,250 kW,Diesel,6 l/100km,Automat
Mercedes-Benz,GLB 35 AMG,6/2023,1 286 760 Kč,50 950 km,225 kW,Benzín,8.4 l/100km,Automat
Audi,A6,5/2024,1 286 260 Kč,29 186 km,150 kW,Diesel,4.7 l/100km,Automat
Ford,Capri,12/2024,1 285 760 Kč,0 km,210 kW,Elektro,,Automat
Mercedes-Benz,GLC 200,5/2024,1 285 760 Kč,12 455 km,150 kW,Benzín,,Automat
Audi,Q3,1/2024,1 283 260 Kč,10 km,140 kW,Benzín,7.3 l/100km,Automat
Land Rover,Range Rover Velar,6/2021,1 280 260 Kč,65 750 km,221 kW,Diesel,6.7 l/100km,Manuál
Audi,A6,7/2024,1 279 760 Kč,18 648 km,150 kW,Diesel,4.5 l/100km,Automat
Volkswagen,ID.7,6/2024,1 277 760 Kč,29 153 km,210 kW,Elektro,,Automat
Renault,Rafale,11/2024,1 276 760 Kč,10 km,221 kW,Hybrid,,Manuál
BMW,330,3/2024,1 275 260 Kč,14 195 km,215 kW,Hybrid,,Automat
Kia,Sorento,3/2024,1 268 760 Kč,5 000 km,169 kW,Hybrid,5.6 l/100km,Automat
Ford,Ranger,1/2025,1 264 260 Kč,1 km,125 kW,Diesel,6.9 l/100km,Automat
Mercedes-Benz,Vito,9/2023,1 261 760 Kč,57 100 km,140 kW,Diesel,5.8 l/100km,Automat
Renault,Rafale,7/2024,1 261 760 Kč,5 000 km,147 kW,Hybrid,,Automat
Volkswagen,Golf,4/2024,1 259 760 Kč,14 400 km,235 kW,Benzín,7 l/100km,Automat
BMW,330,4/2024,1 259 260 Kč,26 886 km,215 kW,Benzín,,Automat
Mercedes-Benz,GLB 200,9/2024,1 259 260 Kč,9 900 km,120 kW,Benzín,7.1 l/100km,Automat
Audi,A6,8/2024,1 256 760 Kč,28 383 km,150 kW,Diesel,4.7 l/100km,Automat
