Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Ford,Bronco,1/2023,1 604 760 Kč,1 km,246 kW,Benzín,13.4 l/100km,Automat
Toyota,Proace,12/2024,960 760 Kč,0 km,130 kW,Diesel,,Automat
Peugeot,308,8/2022,492 260 Kč,29 990 km,96 kW,Benzín,5.4 l/100km,Automat
DFSK,Seres 3,12/2022,549 260 Kč,200 km,120 kW,Elektro,18 kWh/100km,Automat
Ford,Transit Custom,9/2021,436 260 Kč,119 194 km,96 kW,Diesel,7.7 l/100km,Manuál
Audi,Q8,2/2024,1 425 760 Kč,10 700 km,250 kW,Elektro,,Automat
Genesis,GV60,11/2022,1 169 760 Kč,18 988 km,360 kW,Elektro,19.1 kWh/100km,Automat
Land Rover,Discovery Sport,11/2022,1 059 760 Kč,35 441 km,147 kW,Benzín,8 l/100km,Automat
Volkswagen,T6 Transporter,2/2022,729 260 Kč,129 887 km,110 kW,Diesel,6.6 l/100km,Automat
Citroën,Jumper,1/2024,614 260 Kč,10 km,103 kW,Diesel,10 l/100km,Manuál
BMW,330,3/2021,654 760 Kč,84 000 km,185 kW,Hybrid,,Automat
MG,ZS,9/2023,590 760 Kč,17 000 km,115 kW,Elektro,,Automat
Audi,Q8,4/2024,1 507 260 Kč,8 790 km,250 kW,Elektro,21.5 kWh/100km,Automat
BMW,i5,11/2024,1 445 760 Kč,0 km,250 kW,Elektro,19.3 kWh/100km,Automat
Renault,Kangoo,8/2024,494 260 Kč,10 km,70 kW,Diesel,,Manuál
Hyundai,Kona,5/2021,356 760 Kč,104 000 km,104 kW,Hybrid,3.9 l/100km,Automat
Ford,S-Max,6/2020,359 260 Kč,110 000 km,140 kW,Diesel,5.5 l/100km,Automat
BMW,120,3/2023,575 760 Kč,91 900 km,140 kW,Diesel,4.9 l/100km,Automat
Smart,#1,5/2023,733 760 Kč,20 000 km,200 kW,Elektro,17.4 kWh/100km,Automat
Ford,S-Max,6/2020,418 260 Kč,83 700 km,140 kW,Diesel,5.5 l/100km,Automat
Opel,Crossland,8/2021,388 260 Kč,86 000 km,81 kW,Diesel,3.6 l/100km,Manuál
Cupra,Tavascan,9/2024,1 283 260 Kč,10 000 km,250 kW,Elektro,16.5 kWh/100km,Automat
Alfa Romeo,Giulia,5/2019,406 760 Kč,156 845 km,154 kW,Diesel,5.4 l/100km,Automat
Volkswagen,Touran,4/2020,445 760 Kč,138 811 km,85 kW,Diesel,4.5 l/100km,Manuál
Genesis,G80,2/2022,1 011 260 Kč,26 384 km,272 kW,Elektro,,Automat
Cupra,Tavascan,8/2024,1 260 760 Kč,28 km,250 kW,Elektro,16.5 kWh/100km,Automat
Suzuki,SX4 S-Cross,12/2021,612 760 Kč,6 301 km,95 kW,Benzín,5.8 l/100km,Automat
Mazda,MX-30,4/2022,437 760 Kč,16 890 km,107 kW,Elektro,19 kWh/100km,Automat
BMW,320,9/2021,601 760 Kč,85 300 km,150 kW,Hybrid,,Automat
GWM,Wey 05,12/2024,1 393 760 Kč,0 km,350 kW,Hybrid,24.4 l/100km,Automat
Peugeot,508,5/2013,159 260 Kč,145 100 km,120 kW,Diesel,4.9 l/100km,Manuál
Genesis,GV60,4/2022,1 180 260 Kč,24 130 km,360 kW,Elektro,,Automat
MG,MG4,10/2024,950 760 Kč,0 km,321 kW,Elektro,,Automat
Seat,Mii,8/2021,420 260 Kč,9 070 km,61 kW,Elektro,,Automat
BMW,X7,9/2020,1 522 260 Kč,95 700 km,390 kW,Benzín,11 l/100km,Automat
Hyundai,Nexo,12/2020,590 260 Kč,28 954 km,120 kW,Vodík,,Automat
Dacia,Spring,12/2024,458 260 Kč,0 km,48 kW,Elektro,,Automat
Mercedes-Benz,Vito,10/2019,417 260 Kč,71 900 km,84 kW,Diesel,6.2 l/100km,Manuál
Toyota,Proace,12/2024,973 260 Kč,0 km,130 kW,Diesel,,Automat
Volkswagen,T5 Transporter,9/2013,253 260 Kč,151 000 km,62 kW,Diesel,7.5 l/100km,Manuál
Mercedes-Benz,Vito,5/2024,1 012 760 Kč,15 000 km,135 kW,Diesel,5.8 l/100km,Automat
Opel,Ampera-e,3/2020,383 260 Kč,69 081 km,150 kW,Elektro,,Automat
Renault,Trafic,4/2019,381 760 Kč,67 000 km,88 kW,Diesel,6.4 l/100km,Manuál
Cupra,Tavascan,11/2024,1 261 760 Kč,9 000 km,250 kW,Elektro,16.8 kWh/100km,Automat
DS Automobiles,DS3 Crossback,9/2023,510 260 Kč,9 200 km,100 kW,Elektro,,Automat
SsangYong,Tivoli,3/2025,649 760 Kč,25 km,120 kW,Benzín,7.2 l/100km,Manuál
Volkswagen,ID.4,3/2024,1 208 760 Kč,0 km,210 kW,Elektro,,Automat
Mercedes-Benz,C 300,7/2023,1 077 260 Kč,2 652 km,230 kW,Hybrid,,Automat
Mercedes-Benz,Citan,8/2023,774 260 Kč,695 km,90 kW,Elektro,19.9 kWh/100km,Automat
Toyota,Proace,4/2018,384 260 Kč,93 657 km,85 kW,Diesel,5.1 l/100km,Manuál
Cupra,Tavascan,9/2024,1 261 760 Kč,4 958 km,250 kW,Elektro,16.5 kWh/100km,Automat
Smart,#1,8/2023,701 260 Kč,11 835 km,200 kW,Elektro,17.4 kWh/100km,Automat
Fiat,Tipo,11/2024,514 760 Kč,4 km,97 kW,Hybrid,5.2 l/100km,Automat
BMW,218 Active Tourer,9/2021,538 760 Kč,9 000 km,100 kW,Benzín,5.6 l/100km,Automat
Audi,S7,3/2022,1 575 760 Kč,91 632 km,253 kW,Diesel,6.4 l/100km,Automat
Fiat,Tipo,1/2024,508 260 Kč,3 km,97 kW,Hybrid,5.2 l/100km,Automat
Seres,3,12/2024,615 760 Kč,5 km,120 kW,Elektro,18 kWh/100km,Automat
Audi,e-tron,1/2023,968 760 Kč,50 510 km,300 kW,Elektro,,Automat
Renault,Trafic,12/2024,1 037 260 Kč,28 km,110 kW,Diesel,6.9 l/100km,Automat
Opel,Ampera-e,1/2020,496 260 Kč,21 405 km,150 kW,Elektro,,Automat
Cupra,Tavascan,9/2024,1 268 760 Kč,815 km,250 kW,Elektro,16.8 kWh/100km,Automat
MG,ZS,6/2023,441 760 Kč,29 439 km,130 kW,Benzín,9.4 l/100km,Manuál
Ford,Bronco,8/2024,1 472 760 Kč,25 km,246 kW,Benzín,13.4 l/100km,Automat
Fiat,Doblo,3/2018,234 760 Kč,33 430 km,70 kW,Benzín,7.4 l/100km,Manuál
Cupra,Tavascan,12/2024,1 446 260 Kč,0 km,250 kW,Elektro,16.8 kWh/100km,Automat
Mercedes-Benz,C 300,10/2023,1 011 260 Kč,14 751 km,230 kW,Hybrid,,Automat
Alfa Romeo,Tonale,1/2023,634 260 Kč,32 595 km,96 kW,Diesel,5.6 l/100km,Automat
Cupra,Tavascan,10/2024,1 366 760 Kč,9 810 km,250 kW,Elektro,16.8 kWh/100km,Automat
Hyundai,Inster,12/2024,657 760 Kč,0 km,85 kW,Elektro,14.9 kWh/100km,Automat
Honda,e,5/2022,527 760 Kč,6 336 km,100 kW,Elektro,,Automat
Audi,A8,12/2020,1 574 760 Kč,1 km,330 kW,Hybrid,2.6 l/100km,Automat
Volkswagen,Touareg,2/2021,1 147 760 Kč,79 000 km,250 kW,Benzín,11 l/100km,Automat
Mercedes-Benz,C 220,6/2024,1 101 260 Kč,12 600 km,147 kW,Diesel,,Automat
BMW,iX1,12/2024,1 089 760 Kč,2 km,150 kW,Elektro,17.2 kWh/100km,Automat
Nissan,NV300,6/2021,299 760 Kč,110 515 km,88 kW,Diesel,5.6 l/100km,Manuál
Volvo,EX40,10/2024,1 268 760 Kč,15 km,185 kW,Elektro,16.6 kWh/100km,Automat
Hyundai,Inster,12/2024,599 760 Kč,0 km,71 kW,Elektro,14.3 kWh/100km,Automat
BMW,X1,7/2013,209 760 Kč,140 000 km,135 kW,Benzín,7.1 l/100km,Automat
Opel,Vivaro,4/2017,403 760 Kč,83 243 km,90 kW,Diesel,5.5 l/100km,Manuál
Toyota,Land Cruiser,10/2024,1 096 760 Kč,0 km,97 kW,Diesel,,Manuál
Volvo,XC40,12/2023,951 760 Kč,1 000 km,185 kW,Elektro,,Automat
Cupra,Tavascan,8/2024,1 262 260 Kč,14 200 km,250 kW,Elektro,16.8 kWh/100km,Automat
Volkswagen,ID.7,1/2025,1 415 260 Kč,0 km,210 kW,Elektro,,Automat
Jaguar,XF,2/2023,971 760 Kč,47 929 km,150 kW,Diesel,6 l/100km,Automat
Kia,EV3,1/2024,827 260 Kč,1 km,150 kW,Elektro,,Automat
Smart,#1,5/2023,699 760 Kč,11 500 km,200 kW,Elektro,17.4 kWh/100km,Automat
Cupra,Tavascan,8/2024,1 285 260 Kč,12 000 km,250 kW,Elektro,16.8 kWh/100km,Automat
Audi,Q8,3/2024,1 462 260 Kč,3 500 km,250 kW,Elektro,,Automat
Nissan,Leaf,11/2022,484 260 Kč,6 530 km,111 kW,Elektro,,Automat
Ford,Ranger,12/2024,788 760 Kč,0 km,125 kW,Diesel,6.9 l/100km,Manuál
Dacia,Spring,11/2024,466 260 Kč,0 km,33 kW,Elektro,,Automat
Toyota,bZ4X,11/2024,918 760 Kč,0 km,150 kW,Elektro,16.7 kWh/100km,Automat
MG,Marvel R,6/2024,839 760 Kč,100 km,132 kW,Elektro,19.4 kWh/100km,Automat
Volkswagen,ID.3,11/2022,451 760 Kč,35 328 km,107 kW,Elektro,,Automat
Volkswagen,Caddy,12/2018,367 260 Kč,159 414 km,75 kW,Diesel,5.5 l/100km,Manuál
Volkswagen,T5 Transporter,12/2013,291 260 Kč,140 500 km,75 kW,Diesel,7.5 l/100km,Manuál
Mitsubishi,Eclipse Cross,11/2022,707 760 Kč,10 km,138 kW,Hybrid,17.5 l/100km,Automat
Cupra,Formentor,1/2023,618 760 Kč,89 672 km,110 kW,Diesel,4.3 l/100km,Manuál
Hyundai,Bayon,6/2024,547 260 Kč,29 km,62 kW,Benzín,5.3 l/100km,Manuál
MG,MG4,2/2023,506 760 Kč,15 996 km,125 kW,Elektro,,Automat
Škoda,Citigo,5/2014,134 760 Kč,108 000 km,55 kW,Benzín,4.1 l/100km,Manuál
Mercedes-Benz,C 300,10/2023,1 037 260 Kč,24 500 km,230 kW,Hybrid,,Automat
Mercedes-Benz,Citan,7/2023,784 760 Kč,3 200 km,90 kW,Elektro,,Automat
Mercedes-Benz,Vito,10/2021,744 260 Kč,23 352 km,150 kW,Elektro,,Automat
Lynk & Co,01,10/2022,508 260 Kč,80 663 km,192 kW,Hybrid,,Automat
BMW,520,4/2022,961 260 Kč,49 741 km,122 kW,Ostatní,,Automat
Tesla,Model 3,12/2019,539 760 Kč,147 104 km,340 kW,Elektro,,Automat
Opel,Ampera-e,2/2020,402 260 Kč,56 060 km,150 kW,Elektro,,Automat
Ora,Funky Cat,8/2023,549 260 Kč,2 500 km,126 kW,Elektro,,Automat
Opel,Vivaro,2/2019,512 260 Kč,88 487 km,107 kW,Diesel,6.6 l/100km,Manuál
Nissan,Leaf,8/2020,361 760 Kč,60 829 km,110 kW,Elektro,17.1 kWh/100km,Automat
Audi,Q8,8/2023,1 413 260 Kč,8 390 km,253 kW,Elektro,,Automat
Audi,SQ2,12/2024,1 423 260 Kč,0 km,221 kW,Benzín,8.3 l/100km,Automat
Mercedes-Benz,C 300,9/2023,1 077 260 Kč,10 000 km,230 kW,Hybrid,,Automat
Audi,A4,2/2022,811 760 Kč,27 242 km,150 kW,Diesel,4.5 l/100km,Automat
Mercedes-Benz,Vito,2/2020,492 760 Kč,31 040 km,85 kW,Elektro,,Automat
Mercedes-Benz,Vito,7/2020,399 260 Kč,32 780 km,85 kW,Elektro,,Automat
Mercedes-Benz,GLC 200,1/2022,1 259 260 Kč,469 km,145 kW,Benzín,7.4 l/100km,Automat
Audi,Q4 e-tron,2/2023,651 260 Kč,38 745 km,125 kW,Elektro,,Automat
Honda,e,7/2021,461 260 Kč,23 090 km,113 kW,Elektro,,Automat
Renault,Megane,2/2020,251 260 Kč,127 000 km,85 kW,Diesel,4.7 l/100km,Automat
Toyota,Land Cruiser,6/2024,1 107 260 Kč,0 km,97 kW,Diesel,15 l/100km,Manuál
Cupra,Tavascan,11/2024,1 288 260 Kč,10 000 km,250 kW,Elektro,16.8 kWh/100km,Automat
Peugeot,208,6/2022,530 760 Kč,16 200 km,100 kW,Elektro,,Automat
Seat,Leon,8/2016,230 760 Kč,174 500 km,110 kW,Diesel,4.2 l/100km,Manuál
Hyundai,Inster,3/2025,669 260 Kč,500 km,71 kW,Elektro,14.3 kWh/100km,Automat
Dacia,Spring,10/2024,445 760 Kč,0 km,33 kW,Elektro,14.1 kWh/100km,Automat
Jaguar,F-Pace,2/2024,1 538 260 Kč,6 957 km,297 kW,Hybrid,2.4 l/100km,Automat
Jaguar,I-Pace,3/2023,1 094 760 Kč,4 460 km,294 kW,Elektro,,Automat
Opel,Zafira,3/2013,147 260 Kč,150 000 km,103 kW,Benzín,6.5 l/100km,Manuál
Maserati,Quattroporte,5/2013,696 760 Kč,163 189 km,390 kW,Benzín,11.8 l/100km,Automat
BMW,X1,7/2021,601 760 Kč,126 490 km,170 kW,Benzín,7 l/100km,Automat
Nissan,Ariya,8/2024,1 050 760 Kč,9 800 km,160 kW,Elektro,18.1 kWh/100km,Automat
Dacia,Spring,12/2024,469 760 Kč,0 km,48 kW,Elektro,,Automat
Volkswagen,Tiguan,1/2023,780 260 Kč,18 244 km,90 kW,Diesel,4.6 l/100km,Manuál
Mazda,MX-30,10/2022,483 760 Kč,11 650 km,107 kW,Elektro,,Automat
Cupra,Tavascan,9/2024,1 254 260 Kč,2 125 km,250 kW,Elektro,16.8 kWh/100km,Automat
Mercedes-Benz,C 300,10/2023,1 024 260 Kč,8 621 km,230 kW,Hybrid,,Automat
Fiat,600,11/2023,655 260 Kč,60 km,115 kW,Elektro,,Automat
Cupra,Formentor,1/2023,618 760 Kč,89 672 km,110 kW,Diesel,4.3 l/100km,Manuál
Mazda,CX-80,12/2024,1 552 260 Kč,0 km,187 kW,Diesel,5.8 l/100km,Automat
Ford,Transit Custom,9/2018,329 260 Kč,157 000 km,96 kW,Diesel,6.5 l/100km,Manuál
Nissan,Townstar,11/2024,745 260 Kč,1 km,90 kW,Elektro,19.2 kWh/100km,Automat
Audi,Q4 e-tron,3/2023,718 260 Kč,25 550 km,125 kW,Elektro,,Automat
Ford,Ranger,12/2024,1 748 260 Kč,0 km,177 kW,Diesel,10 l/100km,Automat
Mercedes-Benz,GLC 300,4/2022,817 760 Kč,138 850 km,225 kW,Hybrid,,Automat
Jeep,Renegade,3/2022,773 760 Kč,3 114 km,96 kW,Benzín,5.5 l/100km,Automat
Fiat,Tipo,1/2024,483 760 Kč,4 km,97 kW,Hybrid,5.2 l/100km,Automat
Cupra,Tavascan,2/2025,1 313 760 Kč,20 km,250 kW,Elektro,16.5 kWh/100km,Automat
MG,ZS,5/2023,441 760 Kč,26 408 km,130 kW,Benzín,9.4 l/100km,Manuál
MG,ZS,4/2023,453 260 Kč,18 834 km,130 kW,Benzín,9.4 l/100km,Manuál
Peugeot,2008,10/2024,435 260 Kč,17 km,96 kW,Benzín,6 l/100km,Automat
Ford,Ranger,11/2024,2 453 260 Kč,20 km,215 kW,Benzín,13.2 l/100km,Automat
Ford,Mustang Mach-E,9/2024,2 233 260 Kč,1 km,358 kW,Elektro,,Automat
Mercedes-Benz,EQE,5/2024,1 314 760 Kč,13 594 km,215 kW,Elektro,,Automat
Audi,Q4 e-tron,9/2023,1 113 260 Kč,0 km,152 kW,Elektro,,Automat
MG,MG4,5/2024,586 260 Kč,50 km,125 kW,Elektro,17 kWh/100km,Automat
Seat,Arona,9/2023,485 260 Kč,1 km,81 kW,Benzín,4.8 l/100km,Manuál
Fiat,500X,12/2020,273 260 Kč,74 500 km,88 kW,Benzín,6.4 l/100km,Manuál
Dacia,Spring,11/2021,272 260 Kč,43 400 km,33 kW,Elektro,,Automat
Cupra,Tavascan,9/2024,1 278 760 Kč,4 358 km,250 kW,Elektro,16.8 kWh/100km,Automat
MG,ZS,11/2022,396 760 Kč,28 700 km,130 kW,Benzín,9.4 l/100km,Manuál
Cupra,Tavascan,9/2024,1 261 760 Kč,11 000 km,250 kW,Elektro,16.8 kWh/100km,Automat
Volkswagen,T6 Kombi,4/2019,708 260 Kč,130 790 km,146 kW,Diesel,7.9 l/100km,Automat
Renault,Trafic,6/2021,375 260 Kč,128 000 km,90 kW,Diesel,6 l/100km,Manuál
Jeep,Wrangler,1/2020,875 260 Kč,93 500 km,200 kW,Benzín,10.2 l/100km,Automat
Genesis,GV60,11/2022,1 169 760 Kč,18 988 km,360 kW,Elektro,19.1 kWh/100km,Automat
BYD,Seal,12/2024,1 040 760 Kč,0 km,238 kW,Elektro,7.4 kWh/100km,Automat
Audi,A3,1/2025,797 260 Kč,0 km,110 kW,Benzín,5.5 l/100km,Manuál
Maxus,Deliver 3,6/2024,791 260 Kč,10 km,90 kW,Elektro,,Automat
Cupra,Tavascan,8/2024,1 304 260 Kč,10 006 km,250 kW,Elektro,16.8 kWh/100km,Automat
BYD,Dolphin,10/2024,747 260 Kč,5 000 km,150 kW,Elektro,15.9 kWh/100km,Automat
Citroën,C4,9/2023,707 760 Kč,12 km,100 kW,Elektro,15.1 kWh/100km,Automat
Ford,Fiesta,3/2022,395 260 Kč,1 571 km,55 kW,Benzín,5.1 l/100km,Manuál
Nissan,Leaf,5/2020,359 260 Kč,58 500 km,110 kW,Elektro,17.1 kWh/100km,Automat
Volkswagen,ID.7,12/2023,1 225 260 Kč,9 758 km,210 kW,Elektro,15.1 kWh/100km,Automat
Smart,#1,10/2023,727 760 Kč,9 225 km,200 kW,Elektro,17.4 kWh/100km,Automat
Škoda,Yeti,10/2014,184 260 Kč,128 000 km,77 kW,Benzín,5.9 l/100km,Manuál
Audi,e-tron,1/2023,950 760 Kč,20 306 km,300 kW,Elektro,,Automat
Alfa Romeo,Giulia,3/2023,879 260 Kč,15 170 km,206 kW,Benzín,7.2 l/100km,Automat
Audi,A3,1/2025,785 260 Kč,0 km,110 kW,Benzín,5.7 l/100km,Automat
Jeep,Renegade,3/2022,773 760 Kč,3 114 km,96 kW,Benzín,5.5 l/100km,Automat
BMW,330,2/2021,679 260 Kč,91 500 km,185 kW,Hybrid,,Automat
Hyundai,IONIQ 5,2/2024,1 551 760 Kč,7 787 km,448 kW,Elektro,,Automat
Ford,Capri,1/2024,1 286 260 Kč,1 km,210 kW,Elektro,,Automat
Cupra,Tavascan,8/2024,1 278 760 Kč,6 707 km,250 kW,Elektro,16.8 kWh/100km,Automat
Mercedes-Benz,B 180,12/2019,321 760 Kč,147 000 km,85 kW,Diesel,4.8 l/100km,Automat
Polestar,2,6/2023,1 322 260 Kč,14 370 km,355 kW,Elektro,,Automat
Cupra,Born,7/2023,865 260 Kč,4 000 km,170 kW,Elektro,,Automat
Jeep,Renegade,4/2024,786 760 Kč,3 383 km,96 kW,Benzín,5.3 l/100km,Automat
Alfa Romeo,Tonale,12/2022,644 260 Kč,21 573 km,96 kW,Diesel,5.6 l/100km,Automat
Mercedes-Benz,C 200,8/2019,536 260 Kč,87 207 km,135 kW,Benzín,6.2 l/100km,Automat
Nissan,Juke,2/2024,512 760 Kč,350 km,86 kW,Benzín,5.8 l/100km,Manuál
MG,MG3,12/2024,421 260 Kč,0 km,143 kW,Hybrid,,Manuál
Audi,A8,1/2020,1 338 260 Kč,62 800 km,330 kW,Hybrid,,Automat
Cupra,Tavascan,8/2024,1 263 260 Kč,2 145 km,250 kW,Elektro,16.8 kWh/100km,Automat
Renault,Trafic,7/2021,639 260 Kč,111 543 km,125 kW,Diesel,6.9 l/100km,Automat
Mercedes-Benz,E 220,7/2024,1 327 760 Kč,7 957 km,147 kW,Diesel,,Automat
Cupra,Tavascan,9/2024,1 288 260 Kč,6 098 km,250 kW,Elektro,16.8 kWh/100km,Automat
Audi,S8,10/2016,1 057 760 Kč,135 260 km,445 kW,Benzín,9.7 l/100km,Automat
Hyundai,IONIQ 6,2/2024,802 760 Kč,43 km,111 kW,Elektro,13.9 kWh/100km,Automat
DS Automobiles,DS3,3/2023,641 760 Kč,8 025 km,115 kW,Elektro,15.5 kWh/100km,Automat
Nissan,Leaf,12/2020,432 260 Kč,16 400 km,110 kW,Elektro,17.1 kWh/100km,Automat
Mazda,MX-30,11/2024,681 760 Kč,15 km,107 kW,Elektro,17.9 kWh/100km,Automat
Nissan,Leaf,12/2020,458 260 Kč,13 760 km,110 kW,Elektro,,Automat
Mazda,MX-30,8/2023,628 760 Kč,1 771 km,107 kW,Elektro,17.9 kWh/100km,Automat
Cupra,Tavascan,12/2024,1 496 760 Kč,0 km,250 kW,Elektro,16.5 kWh/100km,Automat
Ford,Capri,12/2024,1 337 260 Kč,0 km,250 kW,Elektro,,Automat
Nissan,Ariya,10/2022,731 760 Kč,9 900 km,160 kW,Elektro,,Automat
Fiat,600,11/2023,653 760 Kč,8 650 km,115 kW,Elektro,15.1 kWh/100km,Automat
BMW,216 Active Tourer,11/2020,486 760 Kč,71 402 km,85 kW,Diesel,4.8 l/100km,Manuál
Mercedes-Benz,GLC 43 AMG,11/2022,1 708 260 Kč,15 021 km,287 kW,Benzín,10.1 l/100km,Automat
Cupra,Tavascan,2/2025,1 267 260 Kč,20 km,250 kW,Elektro,16.6 kWh/100km,Automat
Alfa Romeo,Giulia,1/2024,891 260 Kč,13 850 km,206 kW,Benzín,7.2 l/100km,Automat
Porsche,Taycan,8/2020,1 459 260 Kč,88 920 km,420 kW,Elektro,,Automat
BMW,iX2,3/2024,1 222 760 Kč,9 000 km,230 kW,Elektro,,Automat
Volkswagen,T5 Caravelle,3/2024,981 760 Kč,20 504 km,132 kW,Diesel,6.7 l/100km,Automat
Cupra,Tavascan,9/2024,1 309 260 Kč,6 200 km,250 kW,Elektro,16.8 kWh/100km,Automat
Renault,R 5,1/2025,834 760 Kč,0 km,88 kW,Elektro,,Automat
MG,MG4,12/2024,755 760 Kč,10 km,320 kW,Elektro,18.7 kWh/100km,Automat
Mazda,MX-30,7/2023,583 760 Kč,10 km,107 kW,Elektro,17.9 kWh/100km,Automat
Nissan,Leaf,2/2023,718 760 Kč,1 090 km,160 kW,Elektro,,Automat
Mazda,MX-30,4/2024,665 760 Kč,12 km,125 kW,Hybrid,,Automat
Cupra,Tavascan,9/2024,1 283 760 Kč,3 000 km,250 kW,Elektro,16.8 kWh/100km,Automat
Land Rover,Range Rover,1/2019,1 247 260 Kč,140 000 km,386 kW,Benzín,12.7 l/100km,Automat
Škoda,Yeti,4/2016,486 760 Kč,17 370 km,110 kW,Benzín,6.3 l/100km,Automat
Cupra,Tavascan,9/2024,1 256 760 Kč,9 800 km,250 kW,Elektro,16.5 kWh/100km,Automat
Smart,#1,6/2023,694 760 Kč,15 500 km,200 kW,Elektro,17.4 kWh/100km,Automat
MG,MG4,10/2023,497 760 Kč,22 810 km,125 kW,Elektro,,Automat
Peugeot,3008,12/2021,611 260 Kč,35 996 km,165 kW,Hybrid,,Automat
Cupra,Terramar,12/2024,1 221 760 Kč,50 km,195 kW,Benzín,8.6 l/100km,Automat
Volkswagen,Crafter,10/2021,581 260 Kč,24 000 km,100 kW,Elektro,,Automat
Mazda,MX-30,8/2021,453 260 Kč,10 990 km,107 kW,Elektro,19 kWh/100km,Automat
Seat,Mii,6/2012,109 760 Kč,159 000 km,44 kW,Benzín,4.5 l/100km,Manuál
Land Rover,Discovery,7/2022,1 552 260 Kč,58 874 km,221 kW,Diesel,8.5 l/100km,Automat
Toyota,Aygo X,12/2024,408 260 Kč,5 000 km,53 kW,Benzín,4.5 l/100km,Manuál
DS Automobiles,DS3,5/2023,825 260 Kč,0 km,110 kW,Elektro,,Automat
Cupra,Tavascan,8/2024,1 261 760 Kč,17 000 km,250 kW,Elektro,16.8 kWh/100km,Automat
Mazda,MX-30,3/2023,491 260 Kč,15 500 km,107 kW,Elektro,17.9 kWh/100km,Automat
Peugeot,3008,6/2016,204 760 Kč,168 800 km,88 kW,Diesel,4.2 l/100km,Automat
Cupra,Tavascan,8/2024,1 347 260 Kč,10 000 km,250 kW,Elektro,16.8 kWh/100km,Automat
Volkswagen,ID.5,11/2024,1 335 760 Kč,0 km,210 kW,Elektro,15.7 kWh/100km,Automat
Toyota,Hilux,12/2024,1 309 260 Kč,0 km,150 kW,Diesel,8.8 l/100km,Automat
Jeep,Renegade,3/2024,728 760 Kč,26 602 km,96 kW,Benzín,5.3 l/100km,Automat
Hyundai,IONIQ,1/2020,491 760 Kč,12 123 km,88 kW,Elektro,,Automat
BMW,i4,12/2024,1 301 260 Kč,0 km,250 kW,Elektro,15.8 kWh/100km,Automat
BYD,Seal,5/2024,1 109 260 Kč,8 240 km,230 kW,Elektro,,Automat
Mercedes-Benz,C 300,10/2023,1 103 260 Kč,6 950 km,230 kW,Hybrid,,Automat
DS Automobiles,DS4,5/2023,748 260 Kč,22 197 km,165 kW,Hybrid,1.3 l/100km,Automat
Mercedes-Benz,GLE 350,1/2022,1 288 260 Kč,96 810 km,245 kW,Hybrid,,Automat
Audi,Q4 e-tron,12/2024,1 183 260 Kč,15 km,150 kW,Elektro,,Automat
Alpina,B3,8/2021,1 551 760 Kč,76 893 km,340 kW,Benzín,10.3 l/100km,Automat
Volkswagen,ID.7,12/2024,1 536 760 Kč,0 km,210 kW,Elektro,16.3 kWh/100km,Automat
Škoda,Enyaq,12/2024,1 024 260 Kč,0 km,150 kW,Elektro,15.8 kWh/100km,Automat
Volkswagen,Taigo,10/2023,522 260 Kč,10 000 km,70 kW,Benzín,4.7 l/100km,Manuál
Dacia,Spring,12/2024,469 760 Kč,0 km,48 kW,Elektro,,Automat
Hyundai,Kona,4/2021,429 760 Kč,75 000 km,104 kW,Hybrid,3.9 l/100km,Automat
Ford,F-150,12/2024,2 626 260 Kč,1 km,299 kW,Benzín,13.1 l/100km,Automat
Cupra,Tavascan,11/2024,1 340 760 Kč,6 346 km,250 kW,Elektro,18.1 kWh/100km,Automat
Audi,Q4 e-tron,8/2023,838 760 Kč,521 km,125 kW,Elektro,,Automat
Ora,Funky Cat,3/2023,496 760 Kč,6 500 km,126 kW,Elektro,,Automat
Mazda,MX-30,1/2022,463 760 Kč,12 600 km,107 kW,Elektro,,Automat
Renault,Kangoo,10/2020,236 260 Kč,38 658 km,70 kW,Diesel,5.5 l/100km,Manuál
Suzuki,Swift,9/2021,358 260 Kč,15 700 km,61 kW,Benzín,4.7 l/100km,Manuál
BMW,X2,12/2024,1 164 260 Kč,0 km,162 kW,Hybrid,15.3 l/100km,Automat
Cupra,Tavascan,2/2025,1 338 260 Kč,8 000 km,250 kW,Elektro,16.8 kWh/100km,Automat
Nissan,Ariya,3/2024,1 407 760 Kč,1 km,290 kW,Elektro,20.4 kWh/100km,Automat
GWM,Wey 03,11/2024,1 077 260 Kč,0 km,270 kW,Hybrid,25.2 l/100km,Automat
Mercedes-Benz,B 250,11/2022,584 260 Kč,19 673 km,160 kW,Hybrid,,Automat
Mazda,MX-30,5/2022,496 760 Kč,1 500 km,107 kW,Elektro,,Automat
GWM,03,8/2023,546 760 Kč,11 900 km,126 kW,Elektro,,Automat
Fiat,Doblo,6/2015,185 260 Kč,130 340 km,66 kW,Diesel,5.5 l/100km,Manuál
Volvo,EX30,12/2024,1 128 760 Kč,0 km,200 kW,Elektro,17 kWh/100km,Automat
Alfa Romeo,Tonale,2/2023,1 021 760 Kč,1 500 km,206 kW,Benzín,,Automat
Mercedes-Benz,S 560,1/2020,1 451 260 Kč,114 942 km,345 kW,Benzín,9.9 l/100km,Automat
Alfa Romeo,Tonale,4/2023,707 760 Kč,39 035 km,96 kW,Benzín,5.7 l/100km,Automat
