Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Audi,A4,10/2023,1 169 760 Kč,10 151 km,150 kW,Diesel,4.6 l/100km,Automat
Volvo,EX30,1/2024,1 164 260 Kč,0 km,200 kW,Elektro,,Automat
Audi,Q4 e-tron,3/2022,1 152 760 Kč,41 300 km,220 kW,Elektro,,Automat
Volvo,XC40,11/2023,1 148 260 Kč,24 190 km,304 kW,Elektro,,Automat
Mercedes-Benz,C 220,1/2024,1 147 760 Kč,7 462 km,145 kW,Diesel,,Automat
Mazda,CX-60,10/2024,1 147 260 Kč,2 840 km,188 kW,Diesel,5.2 l/100km,Automat
Cupra,Leon,1/2025,1 141 760 Kč,10 km,245 kW,Benzín,6.2 l/100km,Automat
Audi,A3,1/2025,1 141 260 Kč,0 km,150 kW,Hybrid,4.7 l/100km,Automat
Cupra,Terramar,10/2024,1 140 760 Kč,11 km,110 kW,Benzín,6.6 l/100km,Automat
Peugeot,3008,11/2024,1 135 760 Kč,0 km,157 kW,Elektro,,Automat
BMW,M235,1/2024,1 130 260 Kč,17 706 km,225 kW,Benzín,,Automat
Volvo,C40,5/2024,1 130 260 Kč,5 500 km,185 kW,Elektro,,Automat
Mercedes-Benz,Vito,10/2024,1 130 260 Kč,4 000 km,120 kW,Diesel,7.1 l/100km,Automat
Land Rover,Range Rover Evoque,5/2023,1 130 260 Kč,24 200 km,147 kW,Benzín,7.7 l/100km,Automat
Volvo,XC40,6/2024,1 130 260 Kč,14 500 km,185 kW,Elektro,,Automat
Audi,Q5,8/2022,1 111 260 Kč,53 000 km,150 kW,Diesel,5.4 l/100km,Automat
Volkswagen,Transporter,2/2025,1 104 760 Kč,2 000 km,81 kW,Diesel,7.4 l/100km,Manuál
Cupra,Formentor,2/2025,1 098 260 Kč,100 km,245 kW,Benzín,8.9 l/100km,Automat
Hyundai,Tucson,12/2024,1 097 760 Kč,25 km,185 kW,Hybrid,5.4 l/100km,Automat
BMW,120,1/2024,1 096 760 Kč,5 km,131 kW,Benzín,5.8 l/100km,Automat
Mercedes-Benz,E 300,6/2023,1 077 260 Kč,32 948 km,225 kW,Hybrid,,Automat
Volkswagen,Passat Alltrack,3/2023,1 076 760 Kč,41 786 km,147 kW,Diesel,6.1 l/100km,Automat
Mercedes-Benz,CLA 35 AMG Shooting Brake,6/2022,1 073 760 Kč,28 715 km,225 kW,Benzín,8.2 l/100km,Automat
Volvo,EX30,5/2024,1 066 760 Kč,19 320 km,319 kW,Elektro,,Automat
Audi,Q5,8/2021,1 057 760 Kč,78 000 km,150 kW,Diesel,5.4 l/100km,Automat
BMW,540,1/2022,1 050 760 Kč,166 383 km,250 kW,Diesel,5.5 l/100km,Automat
Volkswagen,T-Roc,11/2024,1 050 260 Kč,0 km,110 kW,Benzín,6.4 l/100km,Automat
Volvo,V60 Cross Country,1/2023,1 049 760 Kč,20 175 km,145 kW,Diesel,5.8 l/100km,Automat
Audi,Q5,10/2022,1 047 260 Kč,70 856 km,220 kW,Hybrid,1.8 l/100km,Automat
BMW,X2,1/2025,1 045 760 Kč,15 km,110 kW,Diesel,5.3 l/100km,Automat
BMW,iX1,5/2023,1 045 260 Kč,19 500 km,230 kW,Elektro,,Automat
Mercedes-Benz,CLA 200,1/2024,1 044 260 Kč,0 km,121 kW,Benzín,5.7 l/100km,Automat
Volvo,XC90,8/2021,1 036 760 Kč,80 000 km,288 kW,Hybrid,,Automat
Audi,Q4 e-tron,1/2022,1 024 260 Kč,53 897 km,220 kW,Elektro,18.6 kWh/100km,Automat
Mazda,6,6/2024,1 024 260 Kč,5 km,143 kW,Benzín,7.6 l/100km,Automat
Audi,Q5,9/2021,1 022 260 Kč,36 352 km,220 kW,Hybrid,1.8 l/100km,Automat
Škoda,Octavia,11/2024,1 021 760 Kč,0 km,110 kW,Diesel,4.5 l/100km,Automat
BMW,X1,12/2024,1 018 760 Kč,0 km,100 kW,Benzín,6.4 l/100km,Automat
Ford,Transit Custom,2/2025,1 016 260 Kč,10 km,100 kW,Diesel,6.3 l/100km,Automat
BMW,318,3/2024,1 013 760 Kč,12 269 km,115 kW,Benzín,6.1 l/100km,Automat
BMW,X3,8/2022,1 008 760 Kč,67 782 km,215 kW,Hybrid,,Automat
Mercedes-Benz,Sprinter,1/2023,1 003 760 Kč,16 000 km,125 kW,Diesel,,Manuál
Mercedes-Benz,Vito,12/2023,1 001 260 Kč,13 200 km,120 kW,Diesel,7.3 l/100km,Automat
Mercedes-Benz,E 300,3/2022,995 760 Kč,82 000 km,225 kW,Hybrid,,Automat
Audi,A4,4/2024,995 760 Kč,14 088 km,150 kW,Diesel,4.6 l/100km,Automat
Mercedes-Benz,GLC 400,1/2020,993 260 Kč,108 556 km,243 kW,Diesel,6.9 l/100km,Automat
Mercedes-Benz,GL 63 AMG,3/2014,992 760 Kč,138 519 km,410 kW,Benzín,12.1 l/100km,Automat
Volvo,XC60,12/2021,986 260 Kč,63 200 km,251 kW,Hybrid,,Automat
Mercedes-Benz,C 200,5/2024,969 260 Kč,15 057 km,120 kW,Diesel,,Automat
Audi,A6,12/2021,968 760 Kč,81 238 km,220 kW,Hybrid,1.5 l/100km,Automat
Mercedes-Benz,EQA,1/2024,968 760 Kč,8 991 km,140 kW,Elektro,,Automat
Opel,Zafira,12/2023,966 260 Kč,9 999 km,100 kW,Elektro,24.7 kWh/100km,Automat
Mercedes-Benz,E 200,6/2023,962 760 Kč,54 078 km,145 kW,Benzín,,Automat
Cupra,Terramar,2/2025,962 760 Kč,10 km,110 kW,Benzín,5.8 l/100km,Automat
Audi,A6,10/2022,956 260 Kč,46 023 km,150 kW,Diesel,4.9 l/100km,Automat
Mercedes-Benz,CLA 200,2/2022,953 760 Kč,31 890 km,110 kW,Diesel,4.9 l/100km,Automat
Hyundai,Santa Fe,1/2022,953 760 Kč,19 582 km,195 kW,Hybrid,5.8 l/100km,Automat
Fiat,Ducato,2/2024,951 760 Kč,1 km,103 kW,Diesel,7.9 l/100km,Manuál
Mercedes-Benz,GLC 300,9/2021,939 760 Kč,75 412 km,225 kW,Hybrid,,Automat
Mercedes-Benz,C 220,12/2023,937 260 Kč,54 544 km,145 kW,Diesel,,Automat
Mercedes-Benz,Vito,10/2023,929 260 Kč,15 815 km,120 kW,Diesel,7.2 l/100km,Manuál
Hyundai,IONIQ 6,12/2023,929 260 Kč,13 090 km,168 kW,Elektro,,Automat
Land Rover,Discovery Sport,7/2022,922 760 Kč,37 000 km,147 kW,Benzín,8 l/100km,Automat
Mercedes-Benz,GLC 300,9/2021,918 760 Kč,79 000 km,235 kW,Hybrid,,Automat
BMW,320,3/2023,916 760 Kč,68 000 km,140 kW,Diesel,5.2 l/100km,Automat
Volvo,V90,3/2021,903 260 Kč,73 980 km,293 kW,Hybrid,,Automat
Chevrolet,Camaro,7/2022,902 260 Kč,32 400 km,250 kW,Benzín,,Automat
Mercedes-Benz,GLA 250,1/2021,896 760 Kč,73 800 km,160 kW,Hybrid,1.4 l/100km,Automat
Nissan,X-Trail,7/2024,892 760 Kč,15 km,120 kW,Benzín,7.2 l/100km,Automat
Audi,e-tron,9/2022,892 260 Kč,24 399 km,230 kW,Elektro,,Automat
Kia,EV3,3/2025,888 760 Kč,10 km,150 kW,Elektro,16.2 kWh/100km,Automat
Mercedes-Benz,C 180,1/2023,888 260 Kč,12 200 km,125 kW,Benzín,,Automat
Mercedes-Benz,CLA 250 Shooting Brake,2/2023,886 260 Kč,43 500 km,160 kW,Hybrid,,Automat
Audi,Q4 e-tron,8/2022,879 760 Kč,67 001 km,220 kW,Elektro,,Automat
Audi,A1,12/2024,875 260 Kč,0 km,85 kW,Benzín,4.9 l/100km,Automat
Volkswagen,ID.5,4/2023,865 260 Kč,34 103 km,150 kW,Elektro,,Automat
Ford,Ranger,4/2022,863 760 Kč,112 462 km,156 kW,Diesel,7.8 l/100km,Automat
BMW,118,5/2024,862 760 Kč,22 216 km,110 kW,Diesel,4.8 l/100km,Automat
BMW,530,1/2020,862 260 Kč,59 115 km,185 kW,Benzín,7 l/100km,Automat
Volvo,V60,6/2022,857 760 Kč,102 000 km,261 kW,Hybrid,6.6 l/100km,Automat
Alfa Romeo,Tonale,12/2022,855 760 Kč,15 km,118 kW,Benzín,5.7 l/100km,Automat
Fiat,Ducato,2/2022,854 260 Kč,42 539 km,90 kW,Elektro,38.6 kWh/100km,Automat
BMW,330,1/2022,853 260 Kč,128 000 km,215 kW,Hybrid,,Automat
Audi,Q3,9/2021,852 260 Kč,72 500 km,180 kW,Hybrid,1.4 l/100km,Automat
Cupra,Formentor,2/2022,849 260 Kč,54 410 km,228 kW,Benzín,7.7 l/100km,Automat
Toyota,Corolla Cross,12/2024,841 260 Kč,0 km,103 kW,Hybrid,,Automat
Mercedes-Benz,Citan,5/2024,839 760 Kč,19 990 km,96 kW,Benzín,6.7 l/100km,Automat
Volkswagen,Passat,5/2024,836 760 Kč,22 555 km,110 kW,Benzín,6.6 l/100km,Automat
Volkswagen,T6 Transporter,3/2020,835 260 Kč,62 096 km,110 kW,Diesel,7 l/100km,Manuál
Opel,Combo,1/2024,834 260 Kč,10 km,100 kW,Elektro,21.5 kWh/100km,Automat
Kia,ProCeed,9/2024,826 760 Kč,5 008 km,103 kW,Benzín,6.8 l/100km,Automat
Volkswagen,Caddy,12/2024,817 260 Kč,0 km,75 kW,Diesel,4.7 l/100km,Manuál
Audi,Q3,1/2022,813 260 Kč,23 305 km,110 kW,Benzín,6.5 l/100km,Automat
BMW,320,3/2022,813 260 Kč,26 065 km,135 kW,Benzín,6.3 l/100km,Automat
BMW,X2,1/2022,813 260 Kč,24 673 km,162 kW,Hybrid,,Automat
Toyota,C-HR,9/2024,813 260 Kč,9 km,103 kW,Hybrid,,Automat
Peugeot,308,1/2024,813 260 Kč,10 km,115 kW,Elektro,15.3 kWh/100km,Automat
Mercedes-Benz,E 200,1/2022,812 260 Kč,75 000 km,118 kW,Diesel,5.1 l/100km,Automat
Volkswagen,Arteon,2/2022,812 260 Kč,68 009 km,140 kW,Benzín,7 l/100km,Automat
Škoda,Kodiaq,12/2021,812 260 Kč,57 822 km,147 kW,Diesel,6.3 l/100km,Automat
GWM,03,4/2023,810 760 Kč,4 500 km,126 kW,Elektro,,Automat
Ford,Transit,4/2021,805 260 Kč,32 491 km,136 kW,Diesel,9.5 l/100km,Manuál
BMW,530,2/2022,797 260 Kč,106 720 km,185 kW,Benzín,6.2 l/100km,Automat
Volkswagen,Golf,11/2024,787 260 Kč,0 km,110 kW,Benzín,5.2 l/100km,Automat
Audi,Q2,12/2024,786 760 Kč,0 km,85 kW,Benzín,5.2 l/100km,Manuál
Audi,S6,9/2016,786 760 Kč,79 000 km,331 kW,Benzín,9 l/100km,Automat
Volkswagen,Crafter,2/2022,786 260 Kč,133 423 km,103 kW,Diesel,7.7 l/100km,Automat
Audi,A6,6/2021,784 260 Kč,94 598 km,220 kW,Hybrid,1.5 l/100km,Automat
Kia,XCeed,3/2024,781 260 Kč,17 300 km,100 kW,Diesel,1.4 l/100km,Automat
Audi,A3,10/2023,781 260 Kč,19 173 km,150 kW,Hybrid,6.1 l/100km,Automat
Volkswagen,T6 Transporter,2/2018,760 760 Kč,15 000 km,110 kW,Benzín,8.7 l/100km,Manuál
Opel,Combo,12/2023,760 760 Kč,250 km,100 kW,Elektro,19.7 kWh/100km,Automat
Ford,Kuga,1/2024,759 260 Kč,6 km,110 kW,Benzín,6.6 l/100km,Manuál
Renault,Trafic,4/2023,734 260 Kč,15 499 km,82 kW,Diesel,6.9 l/100km,Manuál
Audi,Q4 e-tron,11/2021,733 760 Kč,111 250 km,150 kW,Elektro,,Automat
MG,MG4,4/2024,733 260 Kč,1 180 km,150 kW,Elektro,16.6 kWh/100km,Automat
Suzuki,Swace,2/2025,729 760 Kč,8 km,103 kW,Hybrid,,Automat
Tesla,Model 3,9/2020,723 260 Kč,62 735 km,324 kW,Elektro,16 kWh/100km,Automat
Volvo,XC40,4/2022,720 260 Kč,52 500 km,95 kW,Benzín,6.5 l/100km,Automat
Mercedes-Benz,E 300,12/2020,719 760 Kč,125 390 km,225 kW,Hybrid,6.4 l/100km,Automat
Mercedes-Benz,C 220,1/2022,719 760 Kč,150 000 km,147 kW,Diesel,5.2 l/100km,Automat
Cupra,Formentor,2/2023,719 260 Kč,20 346 km,150 kW,Hybrid,,Automat
Volkswagen,Tiguan,1/2022,718 760 Kč,87 340 km,147 kW,Diesel,5.5 l/100km,Automat
Volkswagen,ID.3,12/2022,718 760 Kč,17 280 km,152 kW,Elektro,,Automat
Tesla,Model 3,9/2021,707 760 Kč,160 806 km,377 kW,Elektro,16.5 kWh/100km,Automat
Fiat,500X,12/2024,707 260 Kč,1 001 km,96 kW,Benzín,5.8 l/100km,Automat
Cupra,Leon,7/2023,706 260 Kč,8 782 km,150 kW,Hybrid,,Automat
MINI,Cooper SE Countryman,11/2021,699 760 Kč,34 790 km,165 kW,Hybrid,7.2 l/100km,Automat
Audi,A3,3/2025,699 760 Kč,1 km,85 kW,Benzín,5 l/100km,Manuál
Audi,A4 Allroad,5/2019,694 760 Kč,63 470 km,180 kW,Benzín,6.6 l/100km,Automat
Volkswagen,Passat,8/2023,694 260 Kč,9 500 km,110 kW,Diesel,5 l/100km,Automat
Peugeot,5008,5/2022,694 260 Kč,32 600 km,96 kW,Diesel,5.1 l/100km,Manuál
Cupra,Formentor,2/2021,693 260 Kč,104 000 km,228 kW,Benzín,7.7 l/100km,Automat
Volkswagen,T-Roc,12/2024,690 260 Kč,0 km,85 kW,Benzín,6 l/100km,Manuál
Toyota,Proace,6/2024,681 760 Kč,1 km,106 kW,Diesel,5.6 l/100km,Manuál
MG,ZS,12/2024,681 260 Kč,10 km,145 kW,Hybrid,5.1 l/100km,Automat
Citroën,Berlingo,4/2024,680 260 Kč,11 km,100 kW,Elektro,,Automat
Audi,A3,4/2022,678 760 Kč,28 800 km,150 kW,Hybrid,6.1 l/100km,Automat
Mercedes-Benz,T,12/2023,678 760 Kč,10 401 km,75 kW,Benzín,6.4 l/100km,Manuál
Ford,Kuga,5/2022,673 760 Kč,48 012 km,113 kW,Ostatní,,Automat
BMW,318,1/2021,670 260 Kč,49 492 km,115 kW,Benzín,,Automat
Nissan,Qashqai,1/2024,667 760 Kč,31 242 km,116 kW,Benzín,6.9 l/100km,Automat
Abarth,695C,12/2022,666 260 Kč,11 843 km,132 kW,Benzín,6 l/100km,Manuál
Ford,Transit Custom,6/2022,665 760 Kč,118 908 km,77 kW,Diesel,6.1 l/100km,Manuál
Volkswagen,T-Roc,6/2024,664 260 Kč,12 400 km,85 kW,Benzín,6 l/100km,Manuál
Jeep,Avenger,4/2024,660 760 Kč,10 km,74 kW,Benzín,5.4 l/100km,Manuál
Lynk & Co,01,3/2023,657 260 Kč,55 084 km,192 kW,Hybrid,,Automat
Audi,A1,6/2023,654 260 Kč,40 016 km,81 kW,Benzín,4.9 l/100km,Automat
Dacia,Duster,1/2024,648 760 Kč,0 km,96 kW,Hybrid,,Automat
Kia,Ceed,4/2023,648 760 Kč,24 755 km,104 kW,Hybrid,,Automat
Citroën,C4,9/2022,648 760 Kč,20 km,100 kW,Elektro,,Automat
Audi,A1,12/2024,646 760 Kč,10 km,86 kW,Benzín,4.9 l/100km,Automat
Audi,A1,6/2023,643 260 Kč,2 670 km,81 kW,Benzín,5 l/100km,Manuál
Hyundai,Tucson,3/2024,642 760 Kč,9 199 km,110 kW,Benzín,6.1 l/100km,Manuál
Tesla,Model 3,3/2020,642 260 Kč,102 730 km,258 kW,Elektro,,Automat
Cupra,Formentor,11/2022,640 260 Kč,18 450 km,150 kW,Hybrid,,Automat
Citroën,C5 Aircross,6/2023,639 760 Kč,8 759 km,133 kW,Hybrid,1.3 l/100km,Automat
BMW,218 Active Tourer,7/2022,634 260 Kč,31 950 km,100 kW,Benzín,5.9 l/100km,Automat
Kia,Ceed,3/2024,626 260 Kč,23 879 km,104 kW,Hybrid,,Automat
Cupra,Formentor,11/2022,625 760 Kč,23 300 km,150 kW,Hybrid,,Automat
Volkswagen,Passat,7/2022,623 260 Kč,94 856 km,147 kW,Diesel,5.5 l/100km,Automat
Škoda,Karoq,4/2023,618 760 Kč,21 960 km,110 kW,Benzín,5.4 l/100km,Manuál
BMW,530,10/2018,616 760 Kč,108 000 km,185 kW,Hybrid,,Automat
Opel,Astra,1/2023,616 760 Kč,28 787 km,165 kW,Hybrid,,Automat
Mercedes-Benz,CLA 220 Shooting Brake,11/2019,615 260 Kč,142 000 km,140 kW,Benzín,6.9 l/100km,Automat
BMW,118,1/2022,613 260 Kč,7 118 km,100 kW,Benzín,5.4 l/100km,Manuál
Ford,Transit,1/2021,612 260 Kč,100 000 km,125 kW,Diesel,9.5 l/100km,Manuál
Suzuki,SX4 S-Cross,4/2024,609 260 Kč,28 928 km,75 kW,Hybrid,5.9 l/100km,Manuál
Seat,Ateca,2/2023,605 760 Kč,55 055 km,110 kW,Benzín,5.7 l/100km,Manuál
BMW,i3,2/2022,602 260 Kč,24 893 km,135 kW,Elektro,16.3 kWh/100km,Automat
Opel,Combo,8/2022,602 260 Kč,19 981 km,96 kW,Benzín,5.2 l/100km,Automat
Seat,Ateca,2/2023,601 760 Kč,46 724 km,110 kW,Benzín,5.7 l/100km,Manuál
Renault,Kangoo,10/2021,599 760 Kč,70 km,70 kW,Diesel,5 l/100km,Manuál
Seat,Arona,6/2024,592 260 Kč,9 551 km,110 kW,Benzín,5 l/100km,Automat
Citroën,C5 Aircross,1/2024,585 260 Kč,21 376 km,100 kW,Benzín,5.4 l/100km,Automat
Cupra,Leon,7/2021,584 760 Kč,84 632 km,180 kW,Hybrid,,Automat
DS Automobiles,DS7 Crossback,1/2021,582 260 Kč,83 123 km,96 kW,Diesel,4 l/100km,Automat
Ford,Puma,4/2024,577 260 Kč,14 916 km,92 kW,Benzín,6.1 l/100km,Automat
BMW,X1,1/2022,575 760 Kč,160 000 km,140 kW,Diesel,5.1 l/100km,Automat
Ford,S-Max,1/2021,575 760 Kč,113 690 km,110 kW,Diesel,6 l/100km,Manuál
Fiat,500X,7/2023,567 760 Kč,1 281 km,96 kW,Benzín,6.2 l/100km,Automat
Volvo,S60,1/2019,551 760 Kč,173 000 km,184 kW,Benzín,6.2 l/100km,Automat
Opel,Grandland X,1/2022,547 260 Kč,37 127 km,165 kW,Hybrid,,Automat
Suzuki,Ignis,6/2024,547 260 Kč,5 525 km,61 kW,Benzín,5.4 l/100km,Manuál
Peugeot,208,7/2023,545 260 Kč,4 600 km,100 kW,Elektro,15.5 kWh/100km,Automat
Kia,Niro,2/2022,540 260 Kč,51 652 km,100 kW,Elektro,,Automat
Kia,Niro,1/2020,539 260 Kč,56 384 km,150 kW,Elektro,,Automat
Peugeot,3008,5/2021,538 760 Kč,43 033 km,96 kW,Diesel,5 l/100km,Manuál
Jeep,Avenger,3/2025,538 260 Kč,17 km,74 kW,Benzín,4.6 l/100km,Automat
Fiat,600,6/2024,536 260 Kč,11 500 km,74 kW,Benzín,4.6 l/100km,Automat
Jeep,Renegade,12/2022,533 260 Kč,54 000 km,140 kW,Hybrid,1.9 l/100km,Automat
Hyundai,Kona,6/2021,525 760 Kč,55 000 km,104 kW,Hybrid,3.9 l/100km,Automat
Ford,Puma,6/2023,523 760 Kč,38 285 km,92 kW,Benzín,6.1 l/100km,Automat
Ford,Transit Custom,7/2021,522 260 Kč,79 000 km,77 kW,Diesel,7.5 l/100km,Manuál
BMW,X2,6/2021,520 760 Kč,127 443 km,110 kW,Diesel,4.8 l/100km,Manuál
Kia,Sportage,9/2019,512 760 Kč,57 700 km,136 kW,Diesel,6.3 l/100km,Automat
Audi,A1,10/2020,512 760 Kč,9 536 km,70 kW,Benzín,5.2 l/100km,Manuál
Mercedes-Benz,C 180,4/2018,511 760 Kč,117 000 km,115 kW,Benzín,5.9 l/100km,Automat
Volkswagen,Golf,8/2021,510 260 Kč,60 100 km,96 kW,CNG,5.4 kg/100km,Automat
Volkswagen,Passat,11/2022,509 760 Kč,89 950 km,90 kW,Diesel,5.5 l/100km,Automat
Fiat,500X,1/2023,505 760 Kč,38 082 km,96 kW,Benzín,5.6 l/100km,Automat
Nissan,Leaf,12/2023,497 760 Kč,6 700 km,110 kW,Elektro,,Automat
Nissan,Leaf,12/2020,496 760 Kč,55 500 km,160 kW,Elektro,,Automat
MG,MG3,12/2024,496 760 Kč,100 km,143 kW,Hybrid,4.4 l/100km,Automat
Lynk & Co,01,12/2021,496 760 Kč,85 000 km,105 kW,Benzín,,Automat
Volkswagen,ID.3,10/2021,496 260 Kč,19 709 km,110 kW,Elektro,,Automat
Citroën,C3 Aircross,8/2023,496 260 Kč,5 583 km,96 kW,Benzín,6.4 l/100km,Automat
Toyota,Aygo X,2/2025,493 760 Kč,8 km,53 kW,Benzín,4.8 l/100km,Automat
Nissan,Qashqai,3/2023,493 760 Kč,82 843 km,103 kW,Benzín,5.9 l/100km,Manuál
Peugeot,2008,2/2021,486 760 Kč,14 241 km,100 kW,Elektro,,Automat
Ford,Focus,12/2021,486 760 Kč,32 690 km,93 kW,Benzín,6.1 l/100km,Automat
Ford,Focus,4/2020,484 260 Kč,67 998 km,110 kW,Benzín,5.4 l/100km,Manuál
Škoda,Kamiq,2/2023,476 760 Kč,18 827 km,81 kW,Benzín,4.7 l/100km,Manuál
Audi,A1,2/2020,473 260 Kč,70 610 km,86 kW,Benzín,5.1 l/100km,Automat
Ford,Transit Custom,3/2021,471 260 Kč,103 000 km,77 kW,Diesel,7.5 l/100km,Manuál
Ford,Transit Custom,6/2016,471 260 Kč,116 000 km,114 kW,Diesel,6.7 l/100km,Manuál
MG,ZS,9/2021,463 260 Kč,26 866 km,105 kW,Elektro,18.6 kWh/100km,Automat
Kia,Niro,2/2020,462 760 Kč,114 583 km,150 kW,Elektro,,Automat
Kia,Niro,2/2020,462 760 Kč,114 583 km,150 kW,Elektro,,Automat
Renault,Trafic,8/2021,456 760 Kč,122 539 km,88 kW,Diesel,6.7 l/100km,Manuál
Opel,Vivaro,10/2020,450 760 Kč,51 795 km,88 kW,Diesel,4.8 l/100km,Manuál
Suzuki,Ignis,2/2024,447 760 Kč,960 km,61 kW,Benzín,5.4 l/100km,Manuál
Mitsubishi,L200,12/2015,445 760 Kč,49 850 km,113 kW,Diesel,6.8 l/100km,Manuál
MG,ZS,8/2020,439 260 Kč,49 433 km,105 kW,Elektro,,Automat
Volkswagen,ID.3,12/2020,435 260 Kč,128 312 km,150 kW,Elektro,,Automat
Ford,EcoSport,1/2023,432 760 Kč,11 200 km,92 kW,Benzín,5.3 l/100km,Manuál
Opel,Mokka,9/2022,429 260 Kč,37 698 km,74 kW,Benzín,4.6 l/100km,Manuál
MG,ZS,10/2020,424 260 Kč,48 006 km,105 kW,Elektro,,Automat
Nissan,Leaf,11/2021,419 760 Kč,29 830 km,108 kW,Elektro,,Automat
Peugeot,Expert,10/2020,418 260 Kč,150 852 km,90 kW,Diesel,5.6 l/100km,Manuál
Mercedes-Benz,Citan,1/2021,417 260 Kč,124 463 km,70 kW,Diesel,4.6 l/100km,Manuál
Jeep,Renegade,3/2023,408 760 Kč,59 072 km,88 kW,Benzín,5.6 l/100km,Manuál
MINI,Cooper Countryman,5/2018,408 760 Kč,59 540 km,100 kW,Benzín,6.3 l/100km,Manuál
Volkswagen,Caddy,1/2019,403 260 Kč,70 647 km,75 kW,Benzín,5.4 l/100km,Manuál
Audi,A3,2/2019,384 260 Kč,89 000 km,85 kW,Benzín,4.7 l/100km,Manuál
Citroën,C3 Aircross,12/2023,374 260 Kč,39 950 km,81 kW,Benzín,6 l/100km,Manuál
Ford,Transit Connect,1/2020,369 260 Kč,67 982 km,74 kW,Diesel,5.4 l/100km,Manuál
Nissan,Leaf,10/2019,364 260 Kč,77 026 km,110 kW,Elektro,,Automat
Renault,Clio,1/2022,360 760 Kč,110 000 km,104 kW,Hybrid,4.4 l/100km,Automat
Renault,Kangoo,9/2021,341 760 Kč,26 000 km,44 kW,Elektro,18 kWh/100km,Automat
Fiat,Panda,9/2024,339 760 Kč,15 km,51 kW,Benzín,3.9 l/100km,Manuál
Lancia,Ypsilon,2/2022,336 760 Kč,29 000 km,51 kW,Hybrid,4 l/100km,Manuál
Ford,EcoSport,5/2020,312 760 Kč,120 049 km,92 kW,Benzín,5.3 l/100km,Manuál
Hyundai,i10,11/2020,311 260 Kč,40 610 km,74 kW,Benzín,4.8 l/100km,Manuál
Opel,Adam,6/2015,308 260 Kč,27 344 km,66 kW,Benzín,4.2 l/100km,Manuál
Fiat,Panda,2/2024,301 760 Kč,22 142 km,51 kW,Benzín,3.9 l/100km,Manuál
Smart,ForFour,12/2020,291 260 Kč,24 314 km,60 kW,Elektro,,Automat
Volkswagen,up!,12/2021,284 260 Kč,30 000 km,50 kW,CNG,,Manuál
Peugeot,308,1/2020,242 260 Kč,172 353 km,96 kW,Diesel,4.8 l/100km,Manuál
Opel,Corsa,5/2016,197 260 Kč,156 000 km,66 kW,LPG,5.8 l/100km,Manuál
Fiat,500C,4/2015,196 760 Kč,129 571 km,51 kW,Benzín,5.1 l/100km,Manuál
Opel,Astra,8/2018,184 760 Kč,174 000 km,81 kW,Diesel,3.7 l/100km,Manuál
Fiat,500C,1/2012,171 760 Kč,125 992 km,51 kW,Benzín,5 l/100km,Manuál
Fiat,Panda,7/2016,170 760 Kč,131 000 km,51 kW,Benzín,5 l/100km,Manuál
Mercedes-Benz,G 63 AMG,5/2023,4 057 760 Kč,44 000 km,430 kW,Benzín,15.6 l/100km,Automat
Bentley,Bentayga,7/2020,3 261 260 Kč,49 422 km,330 kW,Hybrid,,Automat
Porsche,Panamera,9/2024,3 256 260 Kč,1 798 km,346 kW,Hybrid,2 l/100km,Automat
Audi,RSQ8,8/2021,3 130 760 Kč,80 643 km,441 kW,Benzín,12.1 l/100km,Automat
Porsche,Cayenne,1/2025,3 029 760 Kč,0 km,346 kW,Hybrid,,Automat
Audi,RS7,10/2024,2 926 260 Kč,3 500 km,441 kW,Benzín,12 l/100km,Automat
Mercedes-Benz,S 580,11/2023,2 919 260 Kč,16 869 km,370 kW,Benzín,,Automat
Land Rover,Defender,12/2024,2 778 760 Kč,20 km,221 kW,Diesel,9.9 l/100km,Automat
BMW,750,4/2024,2 776 760 Kč,24 049 km,360 kW,Hybrid,,Automat
Volvo,EX90,12/2024,2 659 760 Kč,9 km,380 kW,Elektro,21.2 kWh/100km,Automat
Mercedes-Benz,S 450,1/2024,2 578 760 Kč,87 845 km,270 kW,Diesel,8.1 l/100km,Automat
Audi,SQ6,12/2024,2 570 260 Kč,8 948 km,360 kW,Elektro,18.2 kWh/100km,Automat
Toyota,Land Cruiser,11/2024,2 458 760 Kč,600 km,151 kW,Diesel,7.6 l/100km,Automat
Audi,S6,11/2024,2 418 760 Kč,0 km,253 kW,Diesel,6.4 l/100km,Automat
Porsche,991,7/2016,2 275 260 Kč,60 951 km,368 kW,Benzín,8.3 l/100km,Automat
Toyota,Land Cruiser,10/2024,2 210 260 Kč,4 km,150 kW,Diesel,7.6 l/100km,Automat
Audi,SQ8,2/2024,2 175 260 Kč,9 111 km,370 kW,Elektro,,Automat
Audi,SQ7,1/2022,2 131 260 Kč,47 365 km,373 kW,Benzín,12 l/100km,Automat
Audi,RS5,6/2024,2 093 760 Kč,18 650 km,331 kW,Benzín,9.1 l/100km,Automat
Land Rover,Defender,3/2024,2 076 260 Kč,21 327 km,221 kW,Diesel,9.9 l/100km,Automat
Audi,S7,1/2022,2 000 760 Kč,44 753 km,253 kW,Diesel,6.4 l/100km,Automat
Mercedes-Benz,EQS,8/2023,1 998 260 Kč,57 268 km,400 kW,Elektro,,Automat
