Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
MG,MG4,9/2023,672 260 Kč,5 000 km,150 kW,Elektro,,Automat
MG,MG4,3/2024,672 260 Kč,6 500 km,125 kW,Elektro,,Automat
Suzuki,Vitara,3/2025,671 260 Kč,10 km,85 kW,Hybrid,5.4 l/100km,Automat
MG,MG5,1/2023,669 760 Kč,1 260 km,116 kW,Elektro,,Automat
Audi,A1,2/2024,667 760 Kč,6 400 km,81 kW,Benzín,4.9 l/100km,Automat
BMW,116,5/2024,667 760 Kč,18 235 km,80 kW,Benzín,5.9 l/100km,Automat
Opel,Astra,12/2022,667 260 Kč,1 500 km,165 kW,Hybrid,4.2 l/100km,Automat
Audi,A1,5/2024,667 260 Kč,6 621 km,85 kW,Benzín,4.9 l/100km,Manuál
BMW,118,1/2021,666 260 Kč,26 900 km,110 kW,Diesel,4.1 l/100km,Automat
Mercedes-Benz,Vito,1/2020,664 260 Kč,102 337 km,65 kW,Diesel,,Manuál
Jaguar,E-Pace,11/2018,660 760 Kč,25 259 km,147 kW,Benzín,7.8 l/100km,Automat
Škoda,Karoq,4/2023,660 260 Kč,56 800 km,110 kW,Benzín,5.6 l/100km,Automat
Peugeot,208,4/2024,654 760 Kč,10 km,100 kW,Elektro,16.1 kWh/100km,Automat
Mercedes-Benz,B 220,8/2020,653 760 Kč,150 000 km,140 kW,Diesel,6.5 l/100km,Automat
Volkswagen,T-Cross,6/2024,644 760 Kč,2 700 km,85 kW,Benzín,4.9 l/100km,Automat
BMW,218 Active Tourer,6/2022,636 760 Kč,30 000 km,100 kW,Benzín,5.9 l/100km,Automat
Mercedes-Benz,Vito,9/2021,633 760 Kč,89 998 km,120 kW,Diesel,7.3 l/100km,Automat
Volkswagen,T6 Transporter,11/2018,626 260 Kč,71 859 km,75 kW,Diesel,5.9 l/100km,Manuál
Audi,A1,6/2024,625 760 Kč,3 700 km,85 kW,Benzín,4.9 l/100km,Manuál
Audi,A1,1/2024,625 760 Kč,7 500 km,70 kW,Benzín,4.9 l/100km,Automat
Ford,Kuga,1/2021,624 260 Kč,86 218 km,140 kW,Diesel,5.7 l/100km,Automat
Škoda,Karoq,3/2023,619 760 Kč,29 201 km,110 kW,Benzín,5.4 l/100km,Manuál
Opel,Grandland,2/2023,618 760 Kč,24 069 km,96 kW,Diesel,3.9 l/100km,Automat
Škoda,Karoq,6/2023,617 760 Kč,23 219 km,110 kW,Benzín,5.4 l/100km,Manuál
Volkswagen,ID.3,12/2022,617 260 Kč,18 559 km,107 kW,Elektro,,Automat
Tesla,Model 3,12/2019,617 260 Kč,124 968 km,340 kW,Elektro,,Automat
Mercedes-Benz,Vito,1/2017,615 760 Kč,150 000 km,120 kW,Diesel,5.8 l/100km,Automat
Ford,S-Max,9/2020,615 760 Kč,22 100 km,110 kW,Diesel,6 l/100km,Manuál
Mercedes-Benz,Vito,5/2020,610 760 Kč,118 866 km,100 kW,Diesel,7.4 l/100km,Manuál
Hyundai,Tucson,2/2021,603 760 Kč,43 451 km,169 kW,Hybrid,4.8 l/100km,Automat
Cupra,Formentor,11/2022,602 260 Kč,23 369 km,150 kW,Hybrid,,Automat
Citroën,C5 Aircross,1/2024,602 260 Kč,8 038 km,96 kW,Benzín,5.9 l/100km,Manuál
BMW,320,6/2020,599 760 Kč,135 000 km,140 kW,Diesel,4.7 l/100km,Automat
Mercedes-Benz,Vito,10/2019,595 760 Kč,46 750 km,84 kW,Diesel,6.2 l/100km,Manuál
Cupra,Leon,7/2022,594 260 Kč,23 100 km,150 kW,Hybrid,,Automat
MG,MG3,11/2024,586 260 Kč,10 km,143 kW,Hybrid,,Automat
Cupra,Formentor,5/2021,583 260 Kč,70 122 km,110 kW,Benzín,5.4 l/100km,Manuál
Hyundai,Kona,2/2023,577 760 Kč,7 105 km,101 kW,Elektro,,Automat
BMW,118,8/2021,573 260 Kč,17 600 km,100 kW,Benzín,5.4 l/100km,Manuál
Ford,Transit Courier,8/2024,571 260 Kč,255 km,74 kW,Benzín,5 l/100km,Manuál
Audi,A4,5/2019,565 260 Kč,120 000 km,170 kW,Diesel,5.3 l/100km,Automat
BMW,435,4/2014,564 760 Kč,142 710 km,225 kW,Benzín,7.5 l/100km,Automat
Nissan,Qashqai,6/2023,562 260 Kč,8 723 km,103 kW,Benzín,5.9 l/100km,Manuál
Seat,Leon,3/2021,562 260 Kč,65 633 km,150 kW,Hybrid,,Automat
Volkswagen,Caddy,3/2021,551 760 Kč,108 779 km,75 kW,Diesel,4.9 l/100km,Manuál
Opel,Vivaro,3/2019,550 760 Kč,119 040 km,107 kW,Diesel,6.6 l/100km,Manuál
Mercedes-Benz,C 300,2/2020,549 260 Kč,149 044 km,225 kW,Hybrid,6.6 l/100km,Automat
MG,ZS,2/2022,548 260 Kč,47 937 km,115 kW,Elektro,,Automat
Ford,Transit Custom,8/2019,547 260 Kč,46 910 km,96 kW,Diesel,7.7 l/100km,Manuál
Suzuki,Vitara,1/2023,538 760 Kč,17 530 km,95 kW,Benzín,5.4 l/100km,Manuál
Jeep,Grand Cherokee,2/2016,538 760 Kč,98 916 km,210 kW,Benzín,10.2 l/100km,Automat
Peugeot,Expert,3/2017,531 260 Kč,161 530 km,130 kW,Diesel,5.8 l/100km,Automat
Volkswagen,Taigo,4/2024,525 260 Kč,15 401 km,70 kW,Benzín,4.7 l/100km,Manuál
Ford,Transit,11/2021,522 260 Kč,63 576 km,77 kW,Diesel,8.3 l/100km,Manuál
Audi,A1,5/2023,519 760 Kč,59 000 km,81 kW,Benzín,4.9 l/100km,Automat
Renault,Trafic,12/2019,512 260 Kč,124 584 km,107 kW,Diesel,6.3 l/100km,Manuál
Kia,Niro,2/2020,499 260 Kč,108 854 km,150 kW,Elektro,,Automat
Nissan,Leaf,11/2023,497 760 Kč,19 560 km,110 kW,Elektro,,Automat
Volkswagen,ID.3,11/2020,496 760 Kč,79 770 km,150 kW,Elektro,16.1 kWh/100km,Automat
Hyundai,Kona,9/2021,496 260 Kč,19 004 km,100 kW,Elektro,,Automat
Volkswagen,T6 Transporter,12/2019,491 260 Kč,165 000 km,110 kW,Diesel,6 l/100km,Manuál
MINI,Cooper SE,2/2022,477 260 Kč,36 600 km,135 kW,Elektro,,Automat
Ford,Transit Custom,9/2021,475 760 Kč,89 000 km,96 kW,Diesel,7.7 l/100km,Manuál
Renault,Captur,6/2022,474 260 Kč,61 700 km,105 kW,Hybrid,1.4 l/100km,Automat
Citroën,C4 Picasso,2/2023,474 260 Kč,15 108 km,96 kW,Benzín,,Manuál
Kia,Sportage,1/2022,474 260 Kč,79 500 km,97 kW,LPG,9.3 l/100km,Manuál
Ford,Transit,10/2020,471 260 Kč,124 470 km,96 kW,Diesel,9.5 l/100km,Manuál
Dacia,Spring,12/2024,461 760 Kč,20 km,33 kW,Elektro,14.1 kWh/100km,Automat
Fiat,Scudo,8/2015,458 760 Kč,140 000 km,120 kW,Diesel,7.1 l/100km,Manuál
Ford,Transit Custom,5/2021,445 760 Kč,65 495 km,77 kW,Diesel,6.1 l/100km,Manuál
Nissan,Juke,1/2024,435 760 Kč,21 000 km,84 kW,Benzín,4.9 l/100km,Manuál
Evo,3,7/2023,435 260 Kč,14 628 km,83 kW,LPG,,Manuál
BMW,116,10/2019,428 760 Kč,54 500 km,85 kW,Diesel,3.8 l/100km,Manuál
BMW,i3,8/2020,427 260 Kč,87 469 km,125 kW,Elektro,,Automat
Renault,Clio,1/2022,425 760 Kč,71 000 km,104 kW,Hybrid,4.4 l/100km,Automat
Citroën,C3,5/2024,425 260 Kč,12 189 km,75 kW,Diesel,4.5 l/100km,Manuál
Hyundai,i20,3/2025,424 760 Kč,0 km,58 kW,Benzín,5.1 l/100km,Manuál
Renault,Captur,8/2021,422 260 Kč,74 899 km,105 kW,Hybrid,1.4 l/100km,Automat
Peugeot,5008,11/2019,421 760 Kč,137 600 km,97 kW,Diesel,5.4 l/100km,Automat
Volkswagen,Caddy,4/2020,420 760 Kč,149 369 km,75 kW,Diesel,5.3 l/100km,Automat
Opel,Vivaro,6/2021,420 260 Kč,115 000 km,90 kW,Diesel,5.4 l/100km,Automat
Mazda,MX-30,11/2020,413 260 Kč,27 653 km,107 kW,Elektro,19 kWh/100km,Automat
Nissan,Leaf,11/2021,408 260 Kč,41 750 km,108 kW,Elektro,,Automat
Fiat,Ducato,10/2019,407 760 Kč,166 224 km,103 kW,Diesel,6.8 l/100km,Manuál
Nissan,Leaf,10/2021,397 260 Kč,59 000 km,110 kW,Elektro,,Automat
Jeep,Compass,10/2021,396 760 Kč,152 200 km,110 kW,Benzín,5.5 l/100km,Automat
Mercedes-Benz,Vito,1/2017,387 760 Kč,128 000 km,84 kW,Diesel,6.2 l/100km,Manuál
Hyundai,i20,3/2025,384 260 Kč,15 km,62 kW,Benzín,4.9 l/100km,Manuál
Toyota,Aygo X,10/2022,384 260 Kč,930 km,53 kW,Benzín,4.5 l/100km,Manuál
BMW,i3,3/2017,383 260 Kč,75 000 km,125 kW,Hybrid,,Automat
Citroën,C3 Aircross,12/2023,374 260 Kč,39 950 km,81 kW,Benzín,6 l/100km,Manuál
Nissan,Leaf,11/2019,361 760 Kč,62 175 km,110 kW,Elektro,17.1 kWh/100km,Automat
Hyundai,Tucson,5/2018,348 760 Kč,120 000 km,97 kW,Benzín,6.9 l/100km,Manuál
Ford,Transit Custom,3/2015,334 260 Kč,111 641 km,92 kW,Diesel,6.9 l/100km,Manuál
MINI,One D,8/2018,329 260 Kč,93 810 km,70 kW,Diesel,3.4 l/100km,Manuál
Renault,Captur,7/2019,324 260 Kč,98 689 km,110 kW,Benzín,5.5 l/100km,Automat
Fiat,Panda,3/2024,314 760 Kč,14 548 km,51 kW,Benzín,3.9 l/100km,Manuál
Mercedes-Benz,Vito,1/2016,309 260 Kč,113 359 km,84 kW,Diesel,6.2 l/100km,Manuál
Lancia,Ypsilon,5/2021,309 260 Kč,11 000 km,51 kW,Hybrid,4 l/100km,Manuál
Fiat,Panda,1/2024,307 760 Kč,17 291 km,51 kW,Benzín,4.9 l/100km,Manuál
Lancia,Ypsilon,3/2023,306 760 Kč,26 900 km,51 kW,Hybrid,,Manuál
Ford,Transit Courier,6/2022,289 260 Kč,115 454 km,55 kW,Diesel,3.9 l/100km,Manuál
Volkswagen,Caddy,1/2015,270 760 Kč,37 570 km,75 kW,Diesel,5.7 l/100km,Manuál
BMW,218 Gran Tourer,6/2015,244 260 Kč,145 000 km,100 kW,Benzín,5 l/100km,Manuál
Peugeot,3008,8/2015,232 260 Kč,150 086 km,90 kW,Diesel,4.2 l/100km,Automat
Fiat,Punto Evo,2/2012,183 260 Kč,72 733 km,50 kW,Benzín,5.2 l/100km,Manuál
Škoda,Rapid,9/2015,179 760 Kč,159 991 km,66 kW,Benzín,4.7 l/100km,Manuál
Mitsubishi,Space Star,10/2016,146 760 Kč,121 100 km,52 kW,Benzín,4.5 l/100km,Manuál
Škoda,Citigo,6/2014,133 760 Kč,107 910 km,50 kW,CNG,,Manuál
Mercedes-Benz,S 580,12/2023,3 003 760 Kč,47 926 km,370 kW,Benzín,,Automat
Mercedes-Benz,C 63 AMG,5/2024,2 790 260 Kč,7 050 km,500 kW,Hybrid,,Automat
Audi,RS7,12/2022,2 687 260 Kč,40 000 km,441 kW,Benzín,12 l/100km,Automat
RAM,2500/3500,10/2024,2 650 260 Kč,0 km,306 kW,Benzín,15.2 l/100km,Automat
Audi,RS6,4/2022,2 490 260 Kč,28 000 km,441 kW,Benzín,12.1 l/100km,Automat
BMW,M3,11/2023,2 223 260 Kč,18 734 km,375 kW,Benzín,10 l/100km,Automat
Land Rover,Range Rover Velar,1/2025,2 154 260 Kč,1 km,294 kW,Benzín,9.7 l/100km,Automat
Mercedes-Benz,E 450,11/2024,2 118 260 Kč,9 900 km,280 kW,Benzín,8.1 l/100km,Automat
Audi,Q6,12/2024,2 108 760 Kč,0 km,285 kW,Elektro,18.9 kWh/100km,Automat
BMW,550,12/2024,2 062 260 Kč,0 km,360 kW,Hybrid,,Automat
Audi,S7,1/2024,2 000 760 Kč,12 918 km,253 kW,Diesel,6.4 l/100km,Automat
Mercedes-Benz,EQE,12/2023,1 968 260 Kč,21 490 km,460 kW,Elektro,,Automat
Audi,RS e-tron GT,3/2022,1 940 260 Kč,39 662 km,440 kW,Elektro,,Automat
Mercedes-Benz,E 63 AMG,4/2021,1 840 260 Kč,69 900 km,450 kW,Benzín,11.7 l/100km,Automat
Volkswagen,ID.5,11/2024,1 816 260 Kč,0 km,210 kW,Elektro,16.4 kWh/100km,Automat
Audi,A8,4/2024,1 815 260 Kč,24 250 km,210 kW,Diesel,6.5 l/100km,Automat
Audi,Q8,2/2024,1 802 760 Kč,5 690 km,300 kW,Elektro,,Automat
BMW,550,1/2025,1 789 760 Kč,0 km,360 kW,Hybrid,21.6 l/100km,Automat
Kia,EV9,5/2024,1 736 760 Kč,5 000 km,150 kW,Elektro,,Automat
Volkswagen,ID.7,1/2025,1 735 760 Kč,0 km,253 kW,Elektro,,Automat
Mazda,CX-80,12/2024,1 683 760 Kč,0 km,187 kW,Diesel,5.8 l/100km,Automat
BMW,i4,1/2025,1 683 260 Kč,0 km,400 kW,Elektro,,Automat
Mercedes-Benz,EQE,5/2024,1 591 760 Kč,2 366 km,215 kW,Elektro,16.8 kWh/100km,Automat
Audi,Q5,11/2023,1 578 260 Kč,25 km,150 kW,Diesel,5.4 l/100km,Automat
Mercedes-Benz,GLC 300,10/2023,1 577 760 Kč,29 750 km,245 kW,Hybrid,,Automat
Mercedes-Benz,GLC 300,5/2024,1 573 260 Kč,9 999 km,230 kW,Hybrid,,Automat
BMW,iX3,10/2024,1 568 260 Kč,9 990 km,210 kW,Elektro,18 kWh/100km,Automat
BMW,X5,1/2022,1 566 760 Kč,47 066 km,290 kW,Hybrid,,Automat
Mazda,CX-60,12/2024,1 536 260 Kč,0 km,187 kW,Diesel,,Automat
Audi,SQ5,3/2023,1 525 260 Kč,49 441 km,251 kW,Diesel,7 l/100km,Automat
BMW,i4,12/2024,1 499 260 Kč,0 km,210 kW,Elektro,13 kWh/100km,Automat
Volkswagen,T6 Transporter,10/2024,1 499 260 Kč,10 km,110 kW,Diesel,7.6 l/100km,Automat
Volkswagen,T6 California,6/2022,1 498 260 Kč,57 806 km,110 kW,Diesel,6.9 l/100km,Automat
Mercedes-Benz,E 220,6/2024,1 485 260 Kč,12 918 km,147 kW,Diesel,,Automat
Mercedes-Benz,GLC 200,4/2024,1 473 260 Kč,13 630 km,150 kW,Benzín,,Automat
BMW,520,7/2024,1 470 760 Kč,9 819 km,145 kW,Diesel,5.3 l/100km,Automat
Mercedes-Benz,CLS 300,6/2021,1 460 260 Kč,44 000 km,195 kW,Diesel,5.5 l/100km,Automat
BMW,550,7/2021,1 460 260 Kč,36 000 km,390 kW,Benzín,9.8 l/100km,Automat
BMW,X5,10/2021,1 446 760 Kč,74 321 km,290 kW,Hybrid,,Automat
Alfa Romeo,Giulia,11/2024,1 444 260 Kč,10 km,206 kW,Benzín,8 l/100km,Automat
BMW,318,12/2024,1 440 760 Kč,0 km,110 kW,Diesel,5.6 l/100km,Automat
Cupra,Terramar,12/2024,1 430 760 Kč,0 km,195 kW,Benzín,8.6 l/100km,Automat
Mercedes-Benz,GLC 300,3/2023,1 420 760 Kč,34 375 km,180 kW,Diesel,6.3 l/100km,Automat
Land Rover,Range Rover Evoque,2/2024,1 420 760 Kč,9 500 km,227 kW,Hybrid,1.9 l/100km,Automat
Audi,A6,5/2024,1 407 260 Kč,3 086 km,195 kW,Benzín,7 l/100km,Automat
Ford,Mustang,3/2025,1 390 260 Kč,10 km,328 kW,Benzín,11.6 l/100km,Automat
Volvo,XC60,1/2025,1 389 760 Kč,0 km,261 kW,Hybrid,,Automat
Škoda,Enyaq,12/2024,1 380 760 Kč,10 km,210 kW,Elektro,16.4 kWh/100km,Automat
BMW,X5,10/2021,1 378 760 Kč,123 495 km,210 kW,Diesel,6.5 l/100km,Automat
